COMPAÑÍA_SV,Cliente,Unidad,Servicio,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Porcentaje_Cobertura_Total,Cobertura_Diferencial,Eficiencia_Asignacion,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,82747,8998,95,5,5.33,4,0.16666666666666666,0.6666666666666666,93.81,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,56498,1621,95,2,2.67,2,0.16666666666666666,0.3333333333333333,74.91,-0.6699999999999999,100.0,0.6699999999999999,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,24549,9382,95,13,8.0,6,0.16666666666666666,1.0,162.5,5.0,61.54,0.0,5.0,SOBRECARGA
J&V Resguardo S.A.C.,23418,22405,41,0,9.33,7,0.16666666666666666,1.1666666666666665,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,7139,23453,335,0,2.67,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,59493,17655,95,2,2.67,2,0.16666666666666666,0.3333333333333333,74.91,-0.6699999999999999,100.0,0.6699999999999999,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,111548,13823,95,3,2.67,2,0.16666666666666666,0.3333333333333333,112.36,0.33000000000000007,89.0,0.0,0.33000000000000007,SOBRECARGA_LEVE
Liderman Servicios S.A.C.,152595,23605,F18,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,7006,23559,I89,2,1.0,1,0.0,0.0,200.0,1.0,50.0,0.0,1.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,134103,15640,95,27,36.0,18,0.5,9.0,75.0,-9.0,100.0,9.0,0.0,FALTA
J&V Resguardo S.A.C.,132919,15084,20,3,3.0,3,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,95506,16896,42,8,1.33,1,0.16666666666666666,0.16666666666666666,601.5,6.67,16.62,0.0,6.67,SOBRECARGA
J&V Resguardo S.A.C.,24308,1864,41,0,1.33,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,134103,23613,324,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,11883,25062,29,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,90912,5101,95,2,2.67,2,0.16666666666666666,0.3333333333333333,74.91,-0.6699999999999999,100.0,0.6699999999999999,0.0,FALTA_LEVE
