COD CLIENTE,COD UNID,COD SERVICIO,F. Inicio,Fecha Fin,Requeridos_sum,PersonalEstimado_sum,COMPAÑÍA,CLIENTE,UNIDAD,SERVICIO,Lider Zonal,Zona,macro zona,Personal_Real,Total_Registros,COMPAÑÍA_ASIG,CLIENTE_ASIG,UNIDAD_ASIG,SERVICIO_ASIG,Registros_Duplicados,CLIENTE_FINAL,UNIDAD_FINAL,SERVICIO_FINAL
-1,9492,151,2016-08-01,2099-12-31,1,1.5,J&V Resguardo Selva S.A.C.,NOT_FOUND,SHANUSI PAMPA HERMOSA,SUPERVISOR SEGURIDAD 12 HRS L/D (DIA),EDUARDO VARGAS,REGION SAN MARTIN,REGION ORIENTE,0,,,,,,,NOT_FOUND,SHANUSI PAMPA HERMOSA,SUPERVISOR SEGURIDAD 12 HRS L/D (DIA)
75599,2584,113,2025-01-01,2099-12-31,4,6.0,J&V Resguardo S.A.C.,CIA MINERA RAURA S A,MINA RAURA,OPERADOR CENTRO CONTROL 24 HRS L/D,JORGE ANTON,REGION HUACHO,REGION NORTE,6,6,J&V Resguardo S.A.C.,CIA MINERA RAURA S A,Mina Raura,OPERADOR CENTRO CONTROL 24 HRS L/D,0,CIA MINERA RAURA S A,MINA RAURA,OPERADOR CENTRO CONTROL 24 HRS L/D
24449,245,53,2023-06-16,2099-12-31,1,1.0,J&V Resguardo S.A.C.,TOYOTA DEL PERU S A,TOYOTA AEROPUERTO I BOCANEGRA,AGENTE SEGURIDAD 12 HRS L/V (DÍA),LUIS TENORIO,ZONA N4,ZONA NORTE,1,1,J&V Resguardo S.A.C.,TOYOTA DEL PERU S A,Toyota Aeropuerto I Bocanegra,AGENTE SEGURIDAD 12 HRS L/V (DÍA),0,TOYOTA DEL PERU S A,TOYOTA AEROPUERTO I BOCANEGRA,AGENTE SEGURIDAD 12 HRS L/V (DÍA)
98665,7870,O66,2025-05-01,2099-12-31,1,1.0,J&V Resguardo S.A.C.,METSO PERU S.A.,METSO CRONOS SURCO,RECEPCIONISTA SENIOR 08 HRS L/V (DIA),GEORGE GARCIA,ZONA S1,ZONA SUR,1,1,J&V Resguardo S.A.C.,METSO PERU S.A.,Metso Cronos Surco,RECEPCIONISTA SENIOR 08 HRS L/V (DIA),0,METSO PERU S.A.,METSO CRONOS SURCO,RECEPCIONISTA SENIOR 08 HRS L/V (DIA)
9463,24498,42,2025-05-12,2025-05-12,1,1.1666666666666667,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,SERV. ADIC. INTERBANK TIENDA LOPEZ DE AYALA SAN BORJA,AGENTE SEGURIDAD 12 HRS L/D NOCHE,LUIS PEREZ,ZONA C8,ZONA CENTRO,0,,,,,,,BANCO INTERNACIONAL DEL PERU-INTERBANK,SERV. ADIC. INTERBANK TIENDA LOPEZ DE AYALA SAN BORJA,AGENTE SEGURIDAD 12 HRS L/D NOCHE
77526,4660,389,2015-06-01,2099-12-31,1,1.0,J&V Resguardo S.A.C.,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,CMBV EDIFICIO LAS BEGONIAS,JEFE CENTRO CONTROL 12 HRS L/S (DIA),WASHINGTON CHINININ,ZONA C6,ZONA CENTRO,1,1,J&V Resguardo S.A.C.,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,CMBV Edificio Las Begonias,JEFE CENTRO CONTROL 12 HRS L/S (DIA),0,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,CMBV EDIFICIO LAS BEGONIAS,JEFE CENTRO CONTROL 12 HRS L/S (DIA)
82747,3220,95,2012-01-01,2099-12-31,2,2.3076923076923075,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,LOCAL CIUDAD AYACUCHO,AGENTE SEGURIDAD 24 HRS L/D,JUAN HUERTAS,REGION AYACUCHO,REGION CENTRO,2,2,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,Local Ciudad Ayacucho,AGENTE SEGURIDAD 24 HRS L/D,0,FERREYROS SOCIEDAD ANÓNIMA,LOCAL CIUDAD AYACUCHO,AGENTE SEGURIDAD 24 HRS L/D
8386,13959,53,2020-05-11,2099-12-31,1,1.0,J&V Resguardo S.A.C.,A W FABER CASTELL PERUANA S A,FABER CASTELL LOCAL ATE,AGENTE SEGURIDAD 12 HRS L/V (DÍA),ESTEBAN CANDELA,ZONA C2,ZONA CENTRO,1,1,J&V Resguardo S.A.C.,A W FABER CASTELL PERUANA S A,Faber Castell Local Ate,AGENTE SEGURIDAD 12 HRS L/V (DÍA),0,A W FABER CASTELL PERUANA S A,FABER CASTELL LOCAL ATE,AGENTE SEGURIDAD 12 HRS L/V (DÍA)
64432,2591,093,2025-01-01,2099-12-31,6,6.0,J&V Resguardo S.A.C.,CORPORACION PERUANA DE PRODUCTOS QUIMICOS S.A. - C,CPPQ PLANTA EL AGUSTINO,INSPECTOR DE PATRIMONIO 24 HRS L/S,JOSE SIFUENTES,ZONA C3,ZONA CENTRO,0,,,,,,,CORPORACION PERUANA DE PRODUCTOS QUIMICOS S.A. - C,CPPQ PLANTA EL AGUSTINO,INSPECTOR DE PATRIMONIO 24 HRS L/S
76629,23482,F36,2023-07-01,2099-12-31,2,2.3333333333333335,Liderman Servicios S.A.C.,ALTEK TRADING SOCIEDAD ANONIMA CERRADA-ALTEK TRADI,CC MEGA PLAZA CHIMBOTE,AGENTE PARKING 08 HRS L/D DÍA,PERCY CONDE,ZONA PD3,ZONA PARKING Y DELIVERY,3,3,Liderman Servicios S.A.C.,ALTEK TRADING SOCIEDAD ANONIMA CERRADA-ALTEK TRADING S.A.C.,CC Mega Plaza Chimbote,AGENTE PARKING 08 HRS L/D DÍA,0,ALTEK TRADING SOCIEDAD ANONIMA CERRADA-ALTEK TRADI,CC MEGA PLAZA CHIMBOTE,AGENTE PARKING 08 HRS L/D DÍA
70588,25065,882,2024-04-01,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,PLAZA CENTER LURÍN,PREVENCIONISTA 24 HRS L/D,JUAN CANGALAYA,ZONA RT1,ZONA RETAIL,3,3,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Plaza Center Lurín,PREVENCIONISTA 24 HRS L/D,0,REAL PLAZA S.R.L.,PLAZA CENTER LURÍN,PREVENCIONISTA 24 HRS L/D
82313,13156,P58,2024-10-12,2099-12-31,2,3.0,J&V Resguardo S.A.C.,COMPAÑIA MINERA LINCUNA S.A.,LINCUNA MINA ANCASH,JEFE DE EQUIPO 24 HRS L/D,GINO GONZALES,REGION HUARAZ,REGION NORTE,3,3,J&V Resguardo S.A.C.,COMPAÑIA MINERA LINCUNA S.A.,Lincuna Mina Ancash,JEFE DE EQUIPO 24 HRS L/D,0,COMPAÑIA MINERA LINCUNA S.A.,LINCUNA MINA ANCASH,JEFE DE EQUIPO 24 HRS L/D
