Cliente,Unidad,Servicio,Personal_Estimado,COMPAÑÍA_SV,CLIENTE_SV,UNIDAD_SV,SERVICIO_SV,Factor_Personas_Promedio,Fecha_Servicio,Registros_Agregados,Clave_Servicio,COD CLIENTE,COD UNID,COD SERVICIO,Personal_Real,COMPAÑÍA_ASIG,CLIENTE_ASIG,UNIDAD_ASIG,SERVICIO_ASIG,Total_Registros,CLIENTE_FINAL,UNIDAD_FINAL,SERVICIO_FINAL,Diferencia_Personal,Porcentaje_Cobertura,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
22776,15130, 95,2,J&V Resguardo S.A.C.,22776,15130, 95,0.16666666666666666,2019-07-01,1,22776_15130_ 95,,,,0,,,,,,22776,15130, 95,,,0,0,FALTA
106332,9077, 95,2,J&V Resguardo S.A.C.,106332,9077, 95,0.16666666666666666,2018-10-15,1,106332_9077_ 95,,,,0,,,,,,106332,9077, 95,,,0,0,FALTA
161437,24628, 95,2,J&V Resguardo S.A.C.,161437,24628, 95,0.16666666666666666,2024-02-01,1,161437_24628_ 95,,,,0,,,,,,161437,24628, 95,,,0,0,FALTA
9463,22023, 59,1,J&V Resguardo S.A.C.,9463,22023, 59,0.0,2022-08-01,1,9463_22023_ 59,,,,0,,,,,,9463,22023, 59,,,0,0,FALTA
56913,19736,D37,1,J&V Resguardo S.A.C.,56913,19736,D37,0.16666666666666666,2021-03-01,1,56913_19736_D37,56913,19736,D37,2,J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SOCIEDAD ANÓNIMA,Backus Sede Administrativa,SUPERVISOR SEGURIDAD 12 HRS L/D ROTATIVO,2,56913,19736,D37,1,200.0,0,1,SOBRECARGA
99091,21708,K23,2,J&V Resguardo S.A.C.,99091,21708,K23,0.16666666666666666,2022-05-01,1,99091_21708_K23,99091,21708,K23,2,J&V Resguardo S.A.C.,CLINICA MIRAFLORES SA,AUNA Centro Médico Parque Infantil Piura,AGENTE PREVENCIÓN 24 HRS L/D,2,99091,21708,K23,0,100.0,0,0,EXACTO
147836,24649, 41,1,J&V Resguardo S.A.C.,147836,24649, 41,0.16666666666666666,2024-02-01,1,147836_24649_ 41,,,,0,,,,,,147836,24649, 41,,,0,0,FALTA
143212,19631,392,2,J&V Resguardo S.A.C.,143212,19631,392,0.5,2021-02-01,1,143212_19631_392,143212,19631,392,3,J&V Resguardo S.A.C.,COMPAÑIA MINERA SANTA LUISA S.A.,Minera Santa Luisa Huanzala,SUPERVISOR OPERATIVO 24 HRS L/D,3,143212,19631,392,1,150.0,0,1,SOBRECARGA
143990,25055, 95,2,J&V Resguardo S.A.C.,143990,25055, 95,0.16666666666666666,2024-04-01,1,143990_25055_ 95,,,,0,,,,,,143990,25055, 95,,,0,0,FALTA
85536,20947, 95,6,J&V Resguardo S.A.C.,85536,20947, 95,0.16666666666666666,2021-10-01,1,85536_20947_ 95,,,,0,,,,,,85536,20947, 95,,,0,0,FALTA
126600,17554,106,2,J&V Resguardo S.A.C.,126600,17554,106,0.16666666666666666,2024-01-01,1,126600_17554_106,126600,17554,106,2,J&V Resguardo S.A.C.,MINERA COLQUISIRI S.A.,Colquisiri Mina Huaral,JEFE DE GRUPO 24 HRS L/D,2,126600,17554,106,0,100.0,0,0,EXACTO
7006,16484, 95,2,J&V Resguardo S.A.C.,7006,16484, 95,0.16666666666666666,2019-11-01,1,7006_16484_ 95,,,,0,,,,,,7006,16484, 95,,,0,0,FALTA
64608,1881, 95,2,J&V Resguardo S.A.C.,64608,1881, 95,0.16666666666666666,2025-03-01,1,64608_1881_ 95,,,,0,,,,,,64608,1881, 95,,,0,0,FALTA
9604,8829, 48,1,J&V Resguardo S.A.C.,9604,8829, 48,0.0,2020-05-27,1,9604_8829_ 48,,,,0,,,,,,9604,8829, 48,,,0,0,FALTA
144133,23356,M67,1,Liderman Servicios S.A.C.,144133,23356,M67,0.0,2023-07-01,1,144133_23356_M67,144133,23356,M67,1,Liderman Servicios S.A.C.,ONCOCENTER PERU S.A.C.,AUNA CBA Independencia Parking,AGENTE PARKING 13 HRS L/V + 08 HRS SAB DÍA,1,144133,23356,M67,0,100.0,0,0,EXACTO
100425,7927, 95,2,J&V Resguardo S.A.C.,100425,7927, 95,0.5,2024-12-14,1,100425_7927_ 95,,,,0,,,,,,100425,7927, 95,,,0,0,FALTA
137079,26455,080,1,Liderman Servicios S.A.C.,137079,26455,080,0.15384615384615385,2025-03-03,1,137079_26455_080,,,,0,,,,,,137079,26455,080,,,0,0,FALTA
56913,19892,H72,2,J&V Resguardo S.A.C.,56913,19892,H72,0.16666666666666666,2022-06-01,1,56913_19892_H72,56913,19892,H72,2,J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SOCIEDAD ANÓNIMA,Backus Planta Ate Bioseguridad,PREVENCIONISTA BIOSEGURIDAD 24 HRS L/D,2,56913,19892,H72,0,100.0,0,0,EXACTO
106877,25750,151,1,J&V Resguardo S.A.C.,106877,25750,151,0.16666666666666666,2024-08-16,1,106877_25750_151,106877,25750,151,1,J&V Resguardo S.A.C.,UNIVERSIDAD CONTINENTAL SOCIEDAD ANONIMA CERRADA,U. Cont. Campus Ica,SUPERVISOR SEGURIDAD 12 HRS L/D (DIA),1,106877,25750,151,0,100.0,0,0,EXACTO
137896,17595, 95,2,J&V Resguardo S.A.C.,137896,17595, 95,0.16666666666666666,2020-01-10,1,137896_17595_ 95,,,,0,,,,,,137896,17595, 95,,,0,0,FALTA
71436,14023,156,1,J&V Resguardo S.A.C.,71436,14023,156,0.0,2022-04-08,1,71436_14023_156,71436,14023,156,1,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Oficina Miraflores,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),1,71436,14023,156,0,100.0,0,0,EXACTO
59077,4904,Q20,1,J&V Resguardo S.A.C.,59077,4904,Q20,0.16666666666666666,2025-02-01,1,59077_4904_Q20,59077,4904,Q20,1,J&V Resguardo S.A.C.,CLINICA INTERNACIONAL S A,Clínica Intl. Torre Ambulatoria San Borja,AGENTE SEGURIDAD 12 HRS L/S + 08 HRS DOM DÍA,1,59077,4904,Q20,0,100.0,0,0,EXACTO
22739,25659, 53,1,J&V Resguardo S.A.C.,22739,25659, 53,0.0,2024-07-02,1,22739_25659_ 53,,,,0,,,,,,22739,25659, 53,,,0,0,FALTA
54550,25944,F35,2,Liderman Servicios S.A.C.,54550,25944,F35,0.16666666666666666,2024-09-16,1,54550_25944_F35,54550,25944,F35,3,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,Tottus Crillón Lima Parking,AGENTE PARKING 08 HRS L/D TARDE,3,54550,25944,F35,1,150.0,0,1,SOBRECARGA
22931,1219, 95,2,J&V Resguardo S.A.C.,22931,1219, 95,0.16666666666666666,2012-08-08,1,22931_1219_ 95,,,,0,,,,,,22931,1219, 95,,,0,0,FALTA
82054,3154, 95,2,J&V Resguardo S.A.C.,82054,3154, 95,0.16666666666666666,2012-06-01,1,82054_3154_ 95,,,,0,,,,,,82054,3154, 95,,,0,0,FALTA
22949,17487, 95,2,J&V Resguardo S.A.C.,22949,17487, 95,0.16666666666666666,2025-01-01,1,22949_17487_ 95,,,,0,,,,,,22949,17487, 95,,,0,0,FALTA
122009,12675, 95,4,J&V Resguardo S.A.C.,122009,12675, 95,0.16666666666666666,2018-02-16,1,122009_12675_ 95,,,,0,,,,,,122009,12675, 95,,,0,0,FALTA
82747,21069,896,1,J&V Resguardo S.A.C.,82747,21069,896,0.0,2021-11-22,1,82747_21069_896,82747,21069,896,2,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,Local Arriola San Luis,AGENTE SEGURIDAD 09 HRS L/V + 04 HRS SÁB DÍA,2,82747,21069,896,1,200.0,0,1,SOBRECARGA
99042,23164, 54,1,J&V Resguardo S.A.C.,99042,23164, 54,0.0,2022-03-01,1,99042_23164_ 54,,,,0,,,,,,99042,23164, 54,,,0,0,FALTA
128812,14008, 48,1,J&V Resguardo S.A.C.,128812,14008, 48,0.0,2022-05-01,1,128812_14008_ 48,,,,0,,,,,,128812,14008, 48,,,0,0,FALTA
126600,17554, 95,18,J&V Resguardo S.A.C.,126600,17554, 95,0.16666666666666666,2024-01-01,1,126600_17554_ 95,,,,0,,,,,,126600,17554, 95,,,0,0,FALTA
106263,9016,M96,1,Liderman Servicios S.A.C.,106263,9016,M96,0.16666666666666666,2023-07-01,1,106263_9016_M96,106263,9016,M96,1,Liderman Servicios S.A.C.,PARQUE LAMBRAMANI SAC,OutletArauco Arequipa,AGENTE PARKING 08:30 HRS L/D TARDE,1,106263,9016,M96,0,100.0,0,0,EXACTO
85564,3250,L69,1,J&V Resguardo S.A.C.,85564,3250,L69,0.16666666666666666,2025-01-01,1,85564_3250_L69,85564,3250,L69,1,J&V Resguardo S.A.C.,EMPRESA DE GENERACION HUANZA S.A.,Hidroeléctrica Huanza,JEFE DE GRUPO 12 HRS L/D ROTATIVO,1,85564,3250,L69,0,100.0,0,0,EXACTO
133200,18914, 95,2,J&V Resguardo S.A.C.,133200,18914, 95,0.16666666666666666,2021-04-23,1,133200_18914_ 95,,,,0,,,,,,133200,18914, 95,,,0,0,FALTA
7006,20139,Q08,2,J&V Resguardo S.A.C.,7006,20139,Q08,0.16666666666666666,2025-02-01,1,7006_20139_Q08,7006,20139,Q08,2,J&V Resguardo S.A.C.,REPSOL COMERCIAL SAC,Repsol Mandos Medios,OPERADOR MONITOREO GPS TRANSP. MKT 24 HRS L/D,2,7006,20139,Q08,0,100.0,0,0,EXACTO
64990,9601, 26,1,J&V Resguardo S.A.C.,64990,9601, 26,0.0,2021-03-01,1,64990_9601_ 26,,,,0,,,,,,64990,9601, 26,,,0,0,FALTA
23251,7280, 95,2,J&V Resguardo S.A.C.,23251,7280, 95,0.16666666666666666,2024-04-01,1,23251_7280_ 95,,,,0,,,,,,23251,7280, 95,,,0,0,FALTA
8795,3178, 95,2,J&V Resguardo S.A.C.,8795,3178, 95,0.16666666666666666,2012-06-16,1,8795_3178_ 95,,,,0,,,,,,8795,3178, 95,,,0,0,FALTA
24467,4319, 95,4,J&V Resguardo S.A.C.,24467,4319, 95,0.16666666666666666,2022-05-01,1,24467_4319_ 95,,,,0,,,,,,24467,4319, 95,,,0,0,FALTA
82313,13156,P59,2,J&V Resguardo S.A.C.,82313,13156,P59,0.5,2024-10-12,1,82313_13156_P59,82313,13156,P59,3,J&V Resguardo S.A.C.,COMPAÑIA MINERA LINCUNA S.A.,Lincuna Mina Ancash,SUPERVISOR DE OPERACIONES 24 HRS L/D,3,82313,13156,P59,1,150.0,0,1,SOBRECARGA
143723,19683, 95,2,J&V Resguardo S.A.C.,143723,19683, 95,0.16666666666666666,2021-03-01,1,143723_19683_ 95,,,,0,,,,,,143723,19683, 95,,,0,0,FALTA
23001,26413, 41,1,J&V Resguardo S.A.C.,23001,26413, 41,0.16666666666666666,2025-03-15,1,23001_26413_ 41,,,,0,,,,,,23001,26413, 41,,,0,0,FALTA
83736,21996, 42,2,J&V Resguardo S.A.C.,83736,21996, 42,0.16666666666666666,2025-05-03,2,83736_21996_ 42,,,,0,,,,,,83736,21996, 42,,,0,0,FALTA
59493,17635,570,1,J&V Resguardo S.A.C.,59493,17635,570,0.0,2023-01-10,1,59493_17635_570,59493,17635,570,1,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Servicios Generales Campus,AGENTE SEGURIDAD ESPECIAL 12 HRS L/V (DÍA),1,59493,17635,570,0,100.0,0,0,EXACTO
163894,23481,M51,1,Liderman Servicios S.A.C.,163894,23481,M51,0.16666666666666666,2023-07-01,1,163894_23481_M51,163894,23481,M51,1,Liderman Servicios S.A.C.,INMOBILIARIA EBURNS S.A.C.,CC Mega Plaza Jaén,SUPERVISOR PARKING 09 HRS L/D TARDE,1,163894,23481,M51,0,100.0,0,0,EXACTO
71436,9701,165,2,J&V Resguardo S.A.C.,71436,9701,165,0.16666666666666666,2016-09-01,1,71436_9701_165,71436,9701,165,2,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Molino Callao,SUPERVISOR SEGURIDAD 24 HRS L/D,2,71436,9701,165,0,100.0,0,0,EXACTO
67379,1816, 42,6,J&V Resguardo S.A.C.,67379,1816, 42,0.16666666666666666,2010-04-15,2,67379_1816_ 42,,,,0,,,,,,67379,1816, 42,,,0,0,FALTA
23085,15113, 95,2,J&V Resguardo S.A.C.,23085,15113, 95,0.16666666666666666,2019-07-01,1,23085_15113_ 95,,,,0,,,,,,23085,15113, 95,,,0,0,FALTA
11883,25149, 29,1,J&V Resguardo S.A.C.,11883,25149, 29,0.0,2025-01-01,1,11883_25149_ 29,,,,0,,,,,,11883,25149, 29,,,0,0,FALTA
125905,14599, 95,18,J&V Resguardo S.A.C.,125905,14599, 95,0.16666666666666666,2025-05-05,1,125905_14599_ 95,,,,0,,,,,,125905,14599, 95,,,0,0,FALTA
133433,15193, 37,1,J&V Resguardo S.A.C.,133433,15193, 37,0.16666666666666666,2025-04-06,1,133433_15193_ 37,,,,0,,,,,,133433,15193, 37,,,0,0,FALTA
225750,26537, 95,2,J&V Resguardo S.A.C.,225750,26537, 95,0.16666666666666666,2024-12-26,1,225750_26537_ 95,,,,0,,,,,,225750,26537, 95,,,0,0,FALTA
23444,93,168,2,J&V Resguardo S.A.C.,23444,93,168,0.16666666666666666,2014-09-01,1,23444_93_168,23444,93,168,2,J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SOCIEDAD ANONIMA,Planta Huachipa,SUPERVISOR SEGURIDAD ESPECIAL 24 HRS L/D.,2,23444,93,168,0,100.0,0,0,EXACTO
70948,2186, 95,4,J&V Resguardo S.A.C.,70948,2186, 95,0.16666666666666666,2012-07-01,2,70948_2186_ 95,,,,0,,,,,,70948,2186, 95,,,0,0,FALTA
78042,8404,530,10,J&V Resguardo S.A.C.,78042,8404,530,0.5,2023-01-01,1,78042_8404_530,78042,8404,530,16,J&V Resguardo S.A.C.,APM TERMINALS CALLAO SOCIEDAD ANONIMA,APM Callao Security,OPERADOR DE CONSOLA 24 HRS L/D,16,78042,8404,530,6,160.0,0,6,SOBRECARGA
23085,18082, 95,2,J&V Resguardo S.A.C.,23085,18082, 95,0.16666666666666666,2024-05-18,1,23085_18082_ 95,,,,0,,,,,,23085,18082, 95,,,0,0,FALTA
7783,25564, 41,4,J&V Resguardo S.A.C.,7783,25564, 41,0.16666666666666666,2024-06-07,1,7783_25564_ 41,,,,0,,,,,,7783,25564, 41,,,0,0,FALTA
111212,22629, 41,2,J&V Resguardo S.A.C.,111212,22629, 41,0.16666666666666666,2022-12-01,2,111212_22629_ 41,,,,0,,,,,,111212,22629, 41,,,0,0,FALTA
22888,20479, 42,1,J&V Resguardo S.A.C.,22888,20479, 42,0.16666666666666666,2021-08-31,1,22888_20479_ 42,,,,0,,,,,,22888,20479, 42,,,0,0,FALTA
90912,5058, 95,2,J&V Resguardo S.A.C.,90912,5058, 95,0.16666666666666666,2014-05-01,1,90912_5058_ 95,,,,0,,,,,,90912,5058, 95,,,0,0,FALTA
55712,15125,080,1,J&V Resguardo S.A.C.,55712,15125,080,0.15384615384615385,2019-07-01,1,55712_15125_080,,,,0,,,,,,55712,15125,080,,,0,0,FALTA
12526,20144,004,2,J&V Resguardo S.A.C.,12526,20144,004,0.5,2021-06-01,2,12526_20144_004,,,,0,,,,,,12526,20144,004,,,0,0,FALTA
111633,26682, 41,1,J&V Resguardo S.A.C.,111633,26682, 41,0.16666666666666666,2025-05-24,1,111633_26682_ 41,,,,0,,,,,,111633,26682, 41,,,0,0,FALTA
63597,26391, 95,2,J&V Resguardo S.A.C.,63597,26391, 95,0.16666666666666666,2025-02-15,1,63597_26391_ 95,,,,0,,,,,,63597,26391, 95,,,0,0,FALTA
9463,17725, 59,1,J&V Resguardo S.A.C.,9463,17725, 59,0.0,2020-02-01,1,9463_17725_ 59,,,,0,,,,,,9463,17725, 59,,,0,0,FALTA
70588,13238, 41,1,J&V Resguardo S.A.C.,70588,13238, 41,0.16666666666666666,2024-04-01,1,70588_13238_ 41,,,,0,,,,,,70588,13238, 41,,,0,0,FALTA
157518,22761,K79,1,J&V Resguardo S.A.C.,157518,22761,K79,0.16666666666666666,2023-01-01,1,157518_22761_K79,157518,22761,K79,1,J&V Resguardo S.A.C.,SERVICIOS E INVERSIONES FENPER S.A.,Dormeson Royal Plaza Independencia,PREVENCIONISTA DE RIESGOS 12 HRS L/D TARDE,1,157518,22761,K79,0,100.0,0,0,EXACTO
223108,26462, 99,4,J&V Resguardo S.A.C.,223108,26462, 99,0.0,2025-01-01,1,223108_26462_ 99,,,,0,,,,,,223108,26462, 99,,,0,0,FALTA
128502,13981, 95,4,J&V Resguardo S.A.C.,128502,13981, 95,0.16666666666666666,2022-11-25,1,128502_13981_ 95,,,,0,,,,,,128502,13981, 95,,,0,0,FALTA
83736,26663,A20,1,J&V Resguardo S.A.C.,83736,26663,A20,0.5,2025-01-01,1,83736_26663_A20,83736,26663,A20,1,J&V Resguardo S.A.C.,MARCOBRE S.A.C.,Mina Justa,COORDINADOR GENERAL 12 HRS L/D (DÍA),1,83736,26663,A20,0,100.0,0,0,EXACTO
