Compañía,Cliente,Unidad,Servicio,F. Inicio,Fecha Fin,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Eficiencia_Asignacion_Pct,Estado_Asignacion
J&V Resguardo S.A.C.,75979,107,42,2023-05-04,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,8601,8306,96,2025-05-01,2099-12-31,30,3.0,2,0.5,1.0,1000.0,27.0,0.0,27.0,10.0,SOBRECARGA
J&V Resguardo S.A.C.,62015,24667,95,2024-12-19,2099-12-31,9,2.33,2,0.16666666666666666,0.3333333333333333,386.27,6.67,0.0,6.67,25.89,SOBRECARGA
J&V Resguardo S.A.C.,85652,1694,48,2022-05-01,2099-12-31,3,3.0,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,23418,92,O28,2024-03-31,2099-12-31,2,1.17,1,0.16666666666666666,0.16666666666666666,170.94,0.83,0.0,0.83,58.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,56913,19701,95,2021-03-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,9463,22063,K55,2024-06-05,2099-12-31,5,3.0,3,0.0,0.0,166.67,2.0,0.0,2.0,60.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,70588,13578,374,2025-05-02,2025-05-04,0,1.17,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,22739,26261,48,2025-01-01,2099-12-31,2,2.0,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,66965,22933,18,2023-03-20,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
Liderman Servicios S.A.C.,125631,23508,M58,2025-03-11,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,106688,9133,106,2016-05-13,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,70588,7470,41,2025-05-10,2025-05-11,0,2.33,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,0.0,NO_PLANIFICADO
Liderman Servicios S.A.C.,144133,22452,F18,2022-11-10,2099-12-31,2,1.0,1,0.0,0.0,200.0,1.0,0.0,1.0,50.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,134103,26122,P82,2024-11-10,2099-12-31,3,3.0,2,0.5,1.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,69200,9635,48,2020-08-04,2099-12-31,4,4.0,4,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,113623,10313,398,2021-01-21,2099-12-31,2,3.0,2,0.5,1.0,66.67,-1.0,1.0,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,140176,17997,95,2020-04-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,67486,25713,95,2024-08-01,2099-12-31,3,3.0,2,0.5,1.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,96415,11560,95,2022-05-01,2099-12-31,5,2.33,2,0.16666666666666666,0.3333333333333333,214.59,2.67,0.0,2.67,46.6,SOBRECARGA
J&V Resguardo S.A.C.,111643,19781,351,2020-07-02,2099-12-31,2,1.0,1,0.0,0.0,200.0,1.0,0.0,1.0,50.0,SOBRECARGA_LEVE
Liderman Servicios S.A.C.,54550,25944,F35,2024-09-16,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,102591,8357,16,2024-03-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,77526,7141,96,2025-01-01,2099-12-31,33,33.0,22,0.5,11.0,100.0,0.0,0.0,0.0,100.0,EXACTO
Liderman Servicios S.A.C.,112043,23590,F36,2023-07-01,2099-12-31,2,3.5,3,0.16666666666666666,0.5,57.14,-1.5,1.5,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,99378,7765,95,2015-04-01,2099-12-31,1,2.33,2,0.16666666666666666,0.3333333333333333,42.92,-1.33,1.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,106668,9072,305,2020-11-01,2099-12-31,8,2.33,2,0.16666666666666666,0.3333333333333333,343.35,5.67,0.0,5.67,29.12,SOBRECARGA
Liderman Servicios S.A.C.,54550,23333,F35,2023-06-01,2099-12-31,3,1.17,1,0.16666666666666666,0.16666666666666666,256.41,1.83,0.0,1.83,39.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,104702,9377,99,2021-03-08,2099-12-31,2,2.0,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,111643,18383,42,2024-03-08,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,64990,2766,26,2021-03-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,75608,2659,573,2015-06-01,2099-12-31,2,1.5,1,0.5,0.5,133.33,0.5,0.0,0.5,75.0,SOBRECARGA_LEVE
