Compañía,NOMBRE_CLIENTE,Cliente,NOMBRE_UNIDAD,Unidad,NOMBRE_SERVICIO,Servicio,Grupo,NOMBRE_GRUPO,MACROZONA,ZONA,Fecha_Inicio_Min,Fecha_Fin_Max,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,NEOSALUD S.A.C.,62803,Neosalud Botica Trujillo,21910,AGENTE SEGURIDAD 10:30 HRS L/V + 05 HRS SÁB DÍA,E85,0133,GRUPO FARMINDUSTRIA,REGION NORTE,REGION TRUJILLO,2023-09-13,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,PESCADOS Y CEFALOPODOS DEL PERU SOCIEDAD ANONIMA C,156203,Pecepe Sede Macropolis Lurín,22426,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",ZONA SUR,ZONA S7,2022-10-24,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,SOCIEDAD MINERA EL BROCAL S.A.A.,8601,SMEB Mina Colquijirca,8306,OPERADOR CENTRO CONTROL 12 HRS L/D (NOCHE),459,"","",REGION CENTRO,REGION PASCO,2024-02-16,2099-12-31,1,1.5,1,0.5,0.5,66.67,-0.5,0.5,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,SERVICIOS LOGISTICOS AUTOMOTRICES S.A.,104702,SLA Local Lurín,9377,AGENTE SEGURIDAD 24 HRS L/S,99,0071,GRUPO ROMERO,ZONA RETAIL,ZONA RT3,2021-03-08,2099-12-31,2,2.0,2,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,AVIVEL SAC,158278,Avivel Granja Buenaventura Cañete,22809,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S5,2023-02-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,REPSOL COMERCIAL SAC,7006,Repsol Cantolao 2 Callao,16445,AGENTE SEGURIDAD 24 HRS L/D,95,0099,GRUPO REPSOL,ZONA NORTE,ZONA N9,2021-06-01,2099-12-31,4,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,171.43,1.67,0.0,1.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,111643,Local San Isidro Real 2,18378,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,0073,GRUPO CENTENARIO,ZONA RETAIL,ZONA RT1,2020-07-08,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,ALICORP SAA,71436,Alicorp Planta Galletera,20346,AGENTE SEGURIDAD 24 HRS L/D,95,0071,GRUPO ROMERO,REGION NORTE,REGION TRUJILLO,2021-06-01,2099-12-31,6,4.666666666666667,4,0.16666666666666666,0.6666666666666666,128.57,1.33,0.0,1.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,SOCIEDAD NACIONAL DE INDUSTRIAS,58298,SNI Local San Isidro,3290,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",ZONA CENTRO,ZONA C11,2018-07-24,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,BANCO DE CREDITO DEL PERU,7139,BCP Sede Las Mercedes Lima,23448,AGENTE SEGURIDAD 24 HRS L/S,99,"","",ZONA CENTRO,ZONA C4,2025-01-01,2099-12-31,1,2.0,2,0.0,0.0,50.0,-1.0,1.0,0.0,FALTA_LEVE
