Compañía,NOMBRE_CLIENTE,Cliente,NOMBRE_UNIDAD,Unidad,NOMBRE_SERVICIO,Servicio,Grupo,NOMBRE_GRUPO,MACROZONA,ZONA,Fecha_Inicio_Min,Fecha_Fin_Max,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,JJC CONTRATISTAS GENERALES S.A.,59079,JJC Contratistas Grales. UDE Chilca,3134,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",ZONA SUR,ZONA S5,2023-05-27,2099-12-31,2,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,171.43,0.83,0.0,0.83,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,"MONTERO ARAMBURU, EDUARDO",110068,Residencia Las Cascadas,9655,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA RESIDENCIAS,ZONA RG1,2022-05-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,GRUPO CREDITO S.A.,137596,Resguardo Residencia Romero LRB,20421,RESGUARDO 15 HRS L/D (DÍA),885,"","",ZONA RESGUARDOS,ZONA CR2,2025-01-01,2099-12-31,7,5.833333333333333,5,0.16666666666666666,0.8333333333333333,120.0,1.17,0.0,1.17,SOBRECARGA_LEVE
J&V Resguardo Selva S.A.C.,SOLGAS S.A.,23001,Solgas Planta Pucallpa,26421,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION ORIENTE,REGION UCAYALI,2025-03-01,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER",62594,Southern Administrativo (Tareo),21426,ASISTENTE ADMINISTRATIVO 12 HRS L/D (DÍA),958,"","",REGION SUR,REGION MOQUEGUA,2022-01-22,2099-12-31,1,1.5,1,0.5,0.5,66.67,-0.5,0.5,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,AGROINDUSTRIAL DEL PERU SOCIEDAD ANONIMA CERRADA,55712,Guardianía El Pedregal,15125,GUARDIAN 24 HRS L/D,080,0002,GRUPO GLORIA,REGION SUR,REGION AREQUIPA,2019-07-01,2099-12-31,0,1.1538461538461537,1,0.15384615384615385,0.15384615384615385,,,0.0,0.0,NO_PLANIFICADO
Liderman Servicios S.A.C.,INMOBILIARIA SIC S.A.,157772,C. Comercial San Isidro Parking,22780,SUPERVISOR OPERATIVO 8 HRS L/D TARDE,L80,"","",ZONA PARKING Y DELIVERY,ZONA PD2,2023-01-01,2099-12-31,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,70588,Real Plaza Arequipa,13227,PREVENCIONISTA 24 HRS L/D,882,"","",REGION SUR,REGION AREQUIPA,2018-09-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,COMPAÑIA MINERA ANTAMINA S.A.,7592,Antamina Adicional Ichi Colla 2,10950,GUARDIAN ESTACION DE VALVULAS Y PRESION 08 HRS L/D DÍA,F97,"","",REGION NORTE,REGION HUARAZ,2021-11-01,2099-12-31,9,21.0,18,0.16666666666666666,3.0,42.86,-12.0,12.0,0.0,FALTA
J&V Resguardo S.A.C.,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,22739,Binswanger Edificio Fibra San Isidro,10416,AGENTE SEGURIDAD 24 HRS L/D (3 TURNOS),345,"","",ZONA CENTRO,ZONA C7,2025-01-01,2099-12-31,7,7.0,6,0.16666666666666666,1.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,"",,Residencia Romero 9,10354,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,0075,GRUPO ROMERO DISTRIBUIDO,ZONA RESIDENCIAS,ZONA RG1,2022-02-18,2099-12-31,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
Liderman Servicios S.A.C.,MEDIC SER S.A.C.,152595,AUNA Clinica Delgado Sede Miraflores Parking,23605,SUPERVISOR PARKING 10 HRS L/D DÍA,M81,0129,GRUPO AUNA,ZONA PARKING Y DELIVERY,ZONA PD1,2023-08-06,2099-12-31,1,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,42.86,-1.33,1.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,SAN FERNANDO S.A.,8330,San Fernando Granja Tutumo Cañete,26339,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",ZONA SUR,ZONA S5,2025-02-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,CONTE GROUP S.A.C. - CONTE G S.A.C.,130170,Conte Group Local Cajamarquilla,14290,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C1,2022-05-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
Liderman Servicios S.A.C.,MALL PLAZA PERÚ S.A.,112043,Mall Plaza Sede Bellavista Descansero Parking,23589,AGENTE PARKING 08 HRS L/D DÍA,F36,"","",ZONA PARKING Y DELIVERY,ZONA PD4,2023-07-01,2099-12-31,0,3.5,3,0.16666666666666666,0.5,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,UNIVERSIDAD CATOLICA SEDES SAPIENTIAE,187115,UCSS Campus Santa María Huaura,25068,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION NORTE,REGION HUACHO,2024-04-01,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,70588,Real Plaza Chiclayo,13229,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,"","",REGION NORTE,REGION CHICLAYO,2021-04-05,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,CONTUGAS S.A.C.,141495,Contugas City Gate Independencia Pisco,18986,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION SUR,REGION ICA,2022-05-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,PROMOTORA GENESIS S.A.C.,124172,Socopur Local San Miguel,15796,AGENTE SEGURIDAD 09 HRS L/V + 05 HRS SABADO (DÍA),568,"","",ZONA CENTRO,ZONA C9,2024-03-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,FINANCIERA QAPAQ S.A.,64990,Qapaq Agencia Piura Libertad,21387,AGENTE SEGURIDAD 10 HRS L/S DIA,26,"","",REGION NORTE,REGION PIURA,2022-02-24,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,ADIDAS PERU S.A.C,63394,Adidas PE 208 FO Arequipa Center,25618,"AGENTE SEGURIDAD 08 HRS VIE, SAB Y DOM (DÍA)",787,"","",REGION SUR,REGION AREQUIPA,2024-06-21,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,TIENDAS INCHE SOCIEDAD ANONIMA CERRADA,148711,Tiendas Inche Local La Victoria,21044,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C4,2021-10-22,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,A W FABER CASTELL PERUANA S A,8386,Faber Castell Local Ate,13959,AGENTE SEGURIDAD 12 HRS L/S DÍA,48,"","",ZONA CENTRO,ZONA C2,2019-01-17,2099-12-31,4,4.0,4,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,INSTITUTO DE EDUCACION SUPERIOR PRIVADO CIBERTEC S,97938,Cibertec Sede Breña,17907,AGENTE SEGURIDAD 08 HRS L/S TARDE,372,0107,GRUPO LAUREATE,ZONA CENTRO,ZONA C9,2022-03-18,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,ATTKO S.A.C.,146768,Hotel Pullman Miraflores,20384,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C10,2021-07-26,2099-12-31,6,4.666666666666667,4,0.16666666666666666,0.6666666666666666,128.57,1.33,0.0,1.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,LINDE PERU S.R.L.,133200,Linde Gas Callao,18911,AGENTE SEGURIDAD 24 HRS L/D,95,0092,GRUPO PRAXAIR,ZONA NORTE,ZONA N1,2020-04-30,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,OTOYA MH SAC,173925,Serv. Adic. Otoya Repsol Estación San Cristobal Rimac,26499,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,"","",ZONA NORTE,ZONA N3,2025-05-01,2025-05-01,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,ELECTRO DUNAS S.A.A.,8795,Sede Nazca,997,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION SUR,REGION ICA,2012-06-16,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,PERUANA DE MOLDEADOS S.A.C.,131380,Pamolsa Almacén Materia Prima,14708,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA NORTE,ZONA N5,2023-04-30,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,59493,PUCP Sección Ingeniería Mecánica,17642,AGENTE SEGURIDAD 08 HRS L/S DÍA,18,"","",ZONA NORTE,ZONA N8,2023-03-20,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,82747,Av. Industrial 675,3363,AGENTE SEGURIDAD 12 HRS L/V (DÍA),53,0044,GRUPO FERREYROS,ZONA RETAIL,ZONA RT3,2020-05-14,2099-12-31,5,5.0,5,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,COTECNA DEL PERU S.A.,122486,Cotecna Local Venezuela,12747,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C9,2022-05-01,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,COMPANIA MINERA ARES S.A.C.,113623,Mina Selene,10313,AGENTE SEGURIDAD 24 HRS L/D (Acuartelado),96,"","",REGION SUR,REGION AREQUIPA,2021-01-21,2099-12-31,8,9.0,6,0.5,3.0,88.89,-1.0,1.0,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,ALIMENTOS CIELO SOCIEDAD ANONIMA CERRADA - ALI CI,147488,Alimentos Cielo Macropolis Lurin,23646,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S7,2023-08-23,2099-12-31,4,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,171.43,1.67,0.0,1.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,PERUBAR S A,80843, Perubar Almacenes Callao,26657,JEFE DE GRUPO 12 HRS L/D DÍA,097,0039,GRUPO GLENCORE,ZONA NORTE,ZONA N9,2025-01-01,2099-12-31,0,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,PLUZ ENERGÍA PERÚ S.A.A.,89419,Enel Distrib. Guardianía Ex Centro de Servicios,20271,GUARDIAN 24 HRS L/D,080,0124,GRUPO ENEL,REGION NORTE,REGION HUACHO,2025-04-01,2099-12-31,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,55081,APM Inland Callao GPS Gambetta,25542,OPERADOR GPS 24 HRS L/D,B54,"","",ZONA NORTE,ZONA N5,2024-05-01,2099-12-31,5,6.0,4,0.5,2.0,83.33,-1.0,1.0,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,QUIMTIA S.A.,121313,Quimtia Operaciones Lurín,12464,JEFE DE GRUPO 12 HRS L/S DÍA,100,"","",ZONA SUR,ZONA S7,2022-05-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,COOP. SERVICIOS EDUCACIONALES ABRAHAM LI,132919,Colegio Abraham Lincoln La Molina,15084,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S6,2024-06-01,2099-12-31,13,11.666666666666666,10,0.16666666666666666,1.6666666666666665,111.43,1.33,0.0,1.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,ADIDAS PERU S.A.C,63394,Adidas Oficina Miraflores,2496,AGENTE SENIOR 12 HRS L/S (DÍA),701,"","",ZONA CENTRO,ZONA C12,2025-01-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,INVERSIONES NACIONALES DE TURISMO S.A.,7034,Hotel Paracas,2618,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,0045,GRUPO BRECA,REGION SUR,REGION ICA,2022-03-02,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,MEDIC SER S.A.C.,152595,AUNA Clínica Delgado Miraflores,21679,AGENTE PREVENCIÓN 24 HRS L/D,K23,0129,GRUPO AUNA,ZONA CENTRO,ZONA C10,2022-05-01,2099-12-31,14,14.0,12,0.16666666666666666,1.9999999999999998,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,SERVICIOS E INVERSIONES FENPER S.A.,157518,Dormeson Royal Plaza Independencia,22761,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA NORTE,ZONA N3,2023-01-01,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,TECNOLOGICA DE ALIMENTOS S.A.,75608,Serv. Adic. Tasa Chimbote,13488,AGENTE SEGURIDAD 24 HRS L/D,95,0045,GRUPO BRECA,REGION NORTE,REGION CHIMBOTE,2024-05-22,2099-12-31,0,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,TRUPAL S.A.,24546,Almacen Tambo Grande,26157,AGENTE SEGURIDAD 24 HRS L/D,95,0002,GRUPO GLORIA,REGION NORTE,REGION PIURA,2024-11-29,2025-05-23,0,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,TRUPAL S.A.,24546,Calle Malca Santiago de Cao Trujillo,19346,AGENTE BALANCERO 24 HRS L/D,G82,0002,GRUPO GLORIA,REGION NORTE,REGION TRUJILLO,2020-11-01,2099-12-31,1,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,42.86,-1.33,1.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,MINERA COLQUISIRI S.A.,126600,Serv. Adic. Resguardo Colquisiri,14094,RESGUARDO 12 HRS L/D DÍA,476,"","",ZONA RESGUARDOS,ZONA CR2,2025-05-07,2025-05-08,0,3.5,3,0.16666666666666666,0.5,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,ASOCIACION CIVIL CRPM,155782,Interbank Sede Museo Piso 23 San Isidro,22341,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C6,2022-08-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,PROFUTURO AFP,54554,Profuturo Sede Principal,607,JEFE DE GRUPO 14 HRS L/V + SÁBADO 12 HRS (DÍA),688,"","",ZONA CENTRO,ZONA C6,2022-05-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,TRANSPORTES CRUZ DEL SUR S.A.C.,7242,Cruz del Sur Tacna,15138,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION SUR,REGION TACNA,2025-01-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,UYUSTOOLS PERU LIMITADA SOCIEDAD COMERCIAL DE RESP,163391,Uyusa Sede Cercado 2,23426,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C9,2023-07-03,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,XIMESA S.A.C.,98454,Reyplast Planta Ate,13411,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C3,2022-05-01,2099-12-31,11,11.666666666666666,10,0.16666666666666666,1.6666666666666665,94.29,-0.67,0.67,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,SERVICIOS GENERALES INMOBILIARIOS NUEVO MUNDO S.A.,85652,Edificio CEM I José Pardo,270,AGENTE RECEPCIÓN 10 HRS L/V DÍA,462,"","",ZONA CENTRO,ZONA C10,2023-05-02,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,DP WORLD CALLAO S.R.L.,119803,DPW Callao Puerto Operaciones,21144,AGENTE SEGURIDAD 24 HRS L/D,95,0127,GRUPO DP WORLD,ZONA NORTE,ZONA N7,2022-05-01,2099-12-31,33,32.666666666666664,28,0.16666666666666666,4.666666666666666,101.02,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,P&D ANDINA ALIMENTOS S.A.,7594,PD Establo el Paijan,18005,AGENTE SEGURIDAD 24 HRS L/D,95,0100,GRUPO ANDINA ALIMENTOS,REGION NORTE,REGION TRUJILLO,2020-01-20,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER",62594,Southern Perú Toquepala,8891,AGENTE SEGURIDAD 24 HRS L/D - 2DA V,709,"","",REGION SUR,REGION TACNA,2025-05-01,2099-12-31,47,60.0,40,0.5,20.0,78.33,-13.0,13.0,0.0,FALTA
J&V Resguardo S.A.C.,TEJIDOS SAN JACINTO S.A.,56498,San Jacinto Planta Santa Anita,1616,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C2,2009-08-30,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,RED DE ENERGIA DEL PERU SA,90912,REP SE Talara Piura,5068,AGENTE SEGURIDAD 24 HRS L/D,95,0059,GRUPO RED,REGION NORTE,REGION TUMBES,2014-05-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,COMPAÑIA MINERA COIMOLACHE S.A.,79127,Mina Tantahuatay,2952,AGENTE CONDUCTOR 24 HRS L/D,398,0047,GRUPO BUENAVENTURA,REGION NORTE,REGION CAJAMARCA,2025-01-01,2099-12-31,6,6.0,4,0.5,2.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,ALICORP SAA,71436,Alicorp Molino Santa Rosa,9697,JEFE DE GRUPO 24 HRS L/D,106,0071,GRUPO ROMERO,ZONA NORTE,ZONA N1,2022-05-01,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,56913,Backus Planta Cusco,19725,GUARDIAN 24 HRS L/D,080,0120,GRUPO BACKUS,REGION SUR,REGION CUZCO,2021-03-01,2099-12-31,0,1.1538461538461537,1,0.15384615384615385,0.15384615384615385,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,PROMOTORA GENESIS S.A.C.,124172,Socopur Almacén Lurín,13017,AGENTE SEGURIDAD 10 HRS L/V + 06 HRS SÁB DÍA,788,"","",ZONA SUR,ZONA S7,2025-04-19,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,MULTI TOP S.A.C.,57474,Multi Top Local La Victoria,15087,AGENTE SEGURIDAD 12 HRS L/S DÍA,48,"","",ZONA CENTRO,ZONA C7,2021-07-01,2099-12-31,8,8.0,8,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,82747,Rentafer Av. Argentina 1300,3367,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,0044,GRUPO FERREYROS,ZONA RETAIL,ZONA RT3,2023-04-13,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,23649,Planta Huachipa,106,JEFE DE GRUPO 12 HRS L/S DÍA,100,0002,GRUPO GLORIA,ZONA CENTRO,ZONA C1,2014-01-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,GAS NATURAL DE LIMA Y CALLAO S.A.,86429,Calidda Nuevo City Gate 2,21447,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S7,2022-03-22,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,CERVECERIA BARBARIAN S.A.C,184837,Barbarian CD Huachipa,24987,AGENTE SEGURIDAD 24 HRS L/D,95,0120,GRUPO BACKUS,ZONA CENTRO,ZONA C1,2024-03-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,MINERA BOROO MISQUICHILCA S.A.,134103,Minera Barrick Servicio de Resguardo,15685,CONDUCTOR DE SEGURIDAD 12 HRS L/S DIA,473,"","",ZONA RESGUARDOS,ZONA CR2,2022-06-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,REPSOL COMERCIAL SAC,7006,Repsol Centenario Callao,16448,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,0099,GRUPO REPSOL,ZONA NORTE,ZONA N1,2022-10-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,SUPERVAN S.A.C.,118082,Supervan Faucett,11484,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA NORTE,ZONA N9,2017-07-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,73633,Fargoline Local Nestor Gambetta,2421,OPERADOR GPS 24 HRS L/D,B54,0044,GRUPO FERREYROS,ZONA RETAIL,ZONA RT2,2018-07-01,2099-12-31,7,7.0,6,0.16666666666666666,1.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,LA LLAVE S.A.,92962,La Llave Almacén Villa el Salvador,22894,AGENTE SEGURIDAD 12 HRS L/V + 08 HRS SAB DIA,60,"","",ZONA SUR,ZONA S2,2023-08-05,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,UNIMAR S A,55985,Unimar Sede Callao,19623,SUPERVISOR SEGURIDAD 12 HRS L/D NOCHE,152,0118,GRUPO UNIMAR,ZONA NORTE,ZONA N9,2021-02-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,CLINICA MIRAFLORES SA,99091,AUNA Clínica Miraflores Piura,21706,AGENTE PREVENCIÓN 24 HRS L/D,K23,0129,GRUPO AUNA,REGION NORTE,REGION PIURA,2022-05-01,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
Liderman Servicios S.A.C.,INMOBILIARIA PISAC S.A.C.,163887,CC Mega Plaza Cañete,23476,AGENTE PARKING 08 HRS L/D TARDE,F35,0070,GRUPO PARQUE ARAUCO,ZONA PARKING Y DELIVERY,ZONA PD3,2023-07-01,2099-12-31,2,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,171.43,0.83,0.0,0.83,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,HAUG S.A.,67379,Haug Local Lurín,1816,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S6,2013-07-09,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,TRUPAL S.A.,24546,Carretera Piura Sullana,19349,AGENTE SEGURIDAD 24 HRS L/D,95,0002,GRUPO GLORIA,REGION NORTE,REGION PIURA,2020-11-01,2099-12-31,7,7.0,6,0.16666666666666666,1.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,CENTRO INTERNACIONAL DE LA PAPA,61605,CIP La Molina,1331,PREVENCIONISTA 10 HRS L/V DÍA,P20,"","",ZONA SUR,ZONA S6,2024-09-16,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,77526,CMBV Almacén Campoy,3051,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,0047,GRUPO BUENAVENTURA,ZONA CENTRO,ZONA C5,2020-02-17,2099-12-31,2,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,171.43,0.83,0.0,0.83,SOBRECARGA_LEVE
