Cliente_Codigo;Unidad_Codigo;Servicio_Codigo;Personal_Real;Personal_Estimado;Diferencia;Cobertura_Pct;Estado;Es_Numerico;Longitud_Codigo
22776;15126;95;3;0;;0;SIN_DATOS;22776;5
134403;17628;95;2;0;;0;SIN_DATOS;134403;6
104389;8805;42;1;0;;0;SIN_DATOS;104389;6
58098;1873;95;8;0;;0;SIN_DATOS;58098;5
23251;25140;41;1;0;;0;SIN_DATOS;23251;5
118082;11509;95;2;0;;0;SIN_DATOS;118082;6
8795;3176;95;2;0;;0;SIN_DATOS;8795;4
102591;8358;42;1;0;;0;SIN_DATOS;102591;6
23001;26415;95;5;0;;0;SIN_DATOS;23001;5
86429;21445;95;2;0;;0;SIN_DATOS;86429;5
61262;14665;95;3;0;;0;SIN_DATOS;61262;5
10040;26531;41;1;0;;0;SIN_DATOS;10040;5
9416;4195;99;3;0;;0;SIN_DATOS;9416;4
69919;2061;95;3;0;;0;SIN_DATOS;69919;5
23251;25141;95;2;0;;0;SIN_DATOS;23251;5
108939;17968;16;5;0;;0;SIN_DATOS;108939;6
55124;947;95;3;0;;0;SIN_DATOS;55124;5
9463;17725;59;1;0;;0;SIN_DATOS;9463;4
69289;19527;80;1;0;;0;SIN_DATOS;69289;5
59493;9513;95;3;0;;0;SIN_DATOS;59493;5
7044;13193;53;1;0;;0;SIN_DATOS;7044;4
7409;7998;42;3;0;;0;SIN_DATOS;7409;4
55024;21156;48;1;0;;0;SIN_DATOS;55024;5
61262;14916;41;1;0;;0;SIN_DATOS;61262;5
22888;7955;95;2;0;;0;SIN_DATOS;22888;5
129899;21055;42;2;0;;0;SIN_DATOS;129899;6
56948;1473;42;5;0;;0;SIN_DATOS;56948;5
70588;22178;42;1;0;;0;SIN_DATOS;70588;5
62544;21913;48;1;0;;0;SIN_DATOS;62544;5
90912;5067;95;2;0;;0;SIN_DATOS;90912;5
92962;22894;60;1;0;;0;SIN_DATOS;92962;5
151095;21401;95;4;0;;0;SIN_DATOS;151095;6
107934;9312;95;3;0;;0;SIN_DATOS;107934;6
56913;19709;95;5;0;;0;SIN_DATOS;56913;5
61262;14663;95;2;0;;0;SIN_DATOS;61262;5
9463;22020;95;2;0;;0;SIN_DATOS;9463;4
113623;10975;95;2;0;;0;SIN_DATOS;113623;6
111548;25552;95;5;0;;0;SIN_DATOS;111548;6
143729;19748;95;2;0;;0;SIN_DATOS;143729;6
23973;21718;95;2;0;;0;SIN_DATOS;23973;5
23649;106;95;16;0;;0;SIN_DATOS;23649;5
56948;1473;41;2;0;;0;SIN_DATOS;56948;5
90912;5070;95;2;0;;0;SIN_DATOS;90912;5
62722;22831;48;1;0;;0;SIN_DATOS;62722;5
56212;15276;42;1;0;;0;SIN_DATOS;56212;5
61607;1332;53;1;0;;0;SIN_DATOS;61607;5
71146;2608;48;1;0;;0;SIN_DATOS;71146;5
106559;20348;41;2;0;;0;SIN_DATOS;106559;6
11883;25061;29;1;0;;0;SIN_DATOS;11883;5
55712;25639;80;2;0;;0;SIN_DATOS;55712;5
23973;8239;95;2;0;;0;SIN_DATOS;23973;5
57917;19229;95;29;0;;0;SIN_DATOS;57917;5
59493;17648;48;1;0;;0;SIN_DATOS;59493;5
9463;22025;59;1;0;;0;SIN_DATOS;9463;4
56913;23410;95;3;0;;0;SIN_DATOS;56913;5
7409;7998;41;2;0;;0;SIN_DATOS;7409;4
106877;25745;41;4;0;;0;SIN_DATOS;106877;6
176426;24670;48;1;0;;0;SIN_DATOS;176426;6
64990;20523;26;1;0;;0;SIN_DATOS;64990;5
111643;18398;95;2;0;;0;SIN_DATOS;111643;6
68514;26389;41;3;0;;0;SIN_DATOS;68514;5
56948;1464;41;6;0;;0;SIN_DATOS;56948;5
66944;7726;42;2;0;;0;SIN_DATOS;66944;5
77527;2865;95;3;0;;0;SIN_DATOS;77527;5
137079;26455;80;1;0;;0;SIN_DATOS;137079;6
70588;13230;25;3;0;;0;SIN_DATOS;70588;5
56913;19697;95;3;0;;0;SIN_DATOS;56913;5
71436;9701;95;6;0;;0;SIN_DATOS;71436;5
60031;11831;41;1;0;;0;SIN_DATOS;60031;5
56948;26011;41;5;0;;0;SIN_DATOS;56948;5
98454;13411;48;6;0;;0;SIN_DATOS;98454;5
104198;8628;42;1;0;;0;SIN_DATOS;104198;6
111643;18399;95;3;0;;0;SIN_DATOS;111643;6
56913;19703;48;1;0;;0;SIN_DATOS;56913;5
64146;22011;95;3;0;;0;SIN_DATOS;64146;5
24382;615;42;1;0;;0;SIN_DATOS;24382;5
77526;25056;95;3;0;;0;SIN_DATOS;77526;5
167730;24616;48;1;0;;0;SIN_DATOS;167730;6
9416;15684;10;1;0;;0;SIN_DATOS;9416;4
24308;1311;41;1;0;;0;SIN_DATOS;24308;5
24546;1148;95;7;0;;0;SIN_DATOS;24546;5
22994;9145;95;2;0;;0;SIN_DATOS;22994;5
54555;10275;53;1;0;;0;SIN_DATOS;54555;5
22739;3096;95;3;0;;0;SIN_DATOS;22739;5
59493;17650;42;1;0;;0;SIN_DATOS;59493;5
102591;8359;41;2;0;;0;SIN_DATOS;102591;6
71146;5427;18;1;0;;0;SIN_DATOS;71146;5
111643;18385;95;3;0;;0;SIN_DATOS;111643;6
64608;25024;41;1;0;;0;SIN_DATOS;64608;5
75979;6649;95;6;0;;0;SIN_DATOS;75979;5
104278;8788;37;1;0;;0;SIN_DATOS;104278;6
188347;26521;99;2;0;;0;SIN_DATOS;188347;6
90912;5086;95;2;0;;0;SIN_DATOS;90912;5
93617;5028;41;1;0;;0;SIN_DATOS;93617;5
85657;12505;42;1;0;;0;SIN_DATOS;85657;5
145649;20039;78;1;0;;0;SIN_DATOS;145649;6
141641;26567;48;1;0;;0;SIN_DATOS;141641;6
56498;1617;95;2;0;;0;SIN_DATOS;56498;5
124387;13067;97;1;0;;0;SIN_DATOS;124387;6
75598;13594;59;1;0;;0;SIN_DATOS;75598;5
59493;9692;95;3;0;;0;SIN_DATOS;59493;5
133200;18909;48;1;0;;0;SIN_DATOS;133200;6
56498;20191;48;1;0;;0;SIN_DATOS;56498;5
59493;17646;95;4;0;;0;SIN_DATOS;59493;5
104702;9377;99;2;0;;0;SIN_DATOS;104702;6
7620;22900;95;5;0;;0;SIN_DATOS;7620;4
23973;2832;26;1;0;;0;SIN_DATOS;23973;5
67486;25713;95;3;0;;0;SIN_DATOS;67486;5
55081;7499;18;2;0;;0;SIN_DATOS;55081;5
126462;13457;95;2;0;;0;SIN_DATOS;126462;6
64990;20005;26;1;0;;0;SIN_DATOS;64990;5
80450;3038;42;3;0;;0;SIN_DATOS;80450;5
77526;3051;95;5;0;;0;SIN_DATOS;77526;5
7214;15584;80;1;0;;0;SIN_DATOS;7214;4
19390;19390;113;5;0;;0;SIN_DATOS;19390;5
7139;23451;48;1;0;;0;SIN_DATOS;7139;4
23649;106;42;3;0;;0;SIN_DATOS;23649;5
22743;4121;41;4;0;;0;SIN_DATOS;22743;5
59493;17639;48;1;0;;0;SIN_DATOS;59493;5
154977;22175;95;2;0;;0;SIN_DATOS;154977;6
90912;5100;95;3;0;;0;SIN_DATOS;90912;5
7214;19130;95;3;0;;0;SIN_DATOS;7214;4
124172;14228;95;3;0;;0;SIN_DATOS;124172;6
131380;23098;95;2;0;;0;SIN_DATOS;131380;6
68590;21955;42;2;0;;0;SIN_DATOS;68590;5
8795;20393;95;2;0;;0;SIN_DATOS;8795;4
92505;19686;95;6;0;;0;SIN_DATOS;92505;5
167804;23814;95;2;0;;0;SIN_DATOS;167804;6
119242;11748;80;2;0;;0;SIN_DATOS;119242;6
10864;847;53;2;0;;0;SIN_DATOS;10864;5
65770;20317;80;1;0;;0;SIN_DATOS;65770;5
85536;20948;48;8;0;;0;SIN_DATOS;85536;5
85536;22016;69;1;0;;0;SIN_DATOS;85536;5
116365;10910;95;3;0;;0;SIN_DATOS;116365;6
54550;15701;17;1;0;;0;SIN_DATOS;54550;5
185827;25561;95;5;0;;0;SIN_DATOS;185827;6
82747;4105;95;9;0;;0;SIN_DATOS;82747;5
161437;25709;42;1;0;;0;SIN_DATOS;161437;6
67887;23682;95;3;0;;0;SIN_DATOS;67887;5
56913;19712;95;5;0;;0;SIN_DATOS;56913;5
155782;22341;95;2;0;;0;SIN_DATOS;155782;6
124672;26468;95;4;0;;0;SIN_DATOS;124672;6
82747;15203;95;3;0;;0;SIN_DATOS;82747;5
75608;3858;95;3;0;;0;SIN_DATOS;75608;5
22888;375;95;4;0;;0;SIN_DATOS;22888;5
185827;25938;41;1;0;;0;SIN_DATOS;185827;6
82747;3363;48;1;0;;0;SIN_DATOS;82747;5
136576;17198;42;2;0;;0;SIN_DATOS;136576;6
115337;10707;41;1;0;;0;SIN_DATOS;115337;6
55024;21157;95;7;0;;0;SIN_DATOS;55024;5
7214;15569;95;1;0;;0;SIN_DATOS;7214;4
59493;9522;42;1;0;;0;SIN_DATOS;59493;5
24060;139;95;3;0;;0;SIN_DATOS;24060;5
59493;17640;48;1;0;;0;SIN_DATOS;59493;5
191862;25522;28;2;0;;0;SIN_DATOS;191862;6
122486;12747;95;3;0;;0;SIN_DATOS;122486;6
74359;2562;95;4;0;;0;SIN_DATOS;74359;5
3174;3174;42;1;0;;0;SIN_DATOS;3174;4
59493;17635;42;3;0;;0;SIN_DATOS;59493;5
148722;25023;95;1;0;;0;SIN_DATOS;148722;6
75608;2659;96;7;0;;0;SIN_DATOS;75608;5
71965;12907;95;7;0;;0;SIN_DATOS;71965;5
64990;9603;26;1;0;;0;SIN_DATOS;64990;5
134403;15735;95;7;0;;0;SIN_DATOS;134403;6
102591;8357;48;1;0;;0;SIN_DATOS;102591;6
86107;3581;95;7;0;;0;SIN_DATOS;86107;5
71436;9703;95;2;0;;0;SIN_DATOS;71436;5
21135;21135;41;1;0;;0;SIN_DATOS;21135;5
71436;14023;R05;1;0;;0;SIN_DATOS;71436;5
153339;21807;95;3;0;;0;SIN_DATOS;153339;6
70588;13521;95;3;0;;0;SIN_DATOS;70588;5
23973;124;95;10;0;;0;SIN_DATOS;23973;5
73633;26376;95;5;0;;0;SIN_DATOS;73633;5
90912;5058;95;2;0;;0;SIN_DATOS;90912;5
134403;17627;95;5;0;;0;SIN_DATOS;134403;6
15920;15920;796;1;0;;0;SIN_DATOS;15920;5
62594;15023;709;3;0;;0;SIN_DATOS;62594;5
64608;2808;95;2;0;;0;SIN_DATOS;64608;5
90912;5060;95;3;0;;0;SIN_DATOS;90912;5
56498;1621;95;2;0;;0;SIN_DATOS;56498;5
147488;20564;95;2;0;;0;SIN_DATOS;147488;6
12526;20144;98;2;0;;0;SIN_DATOS;12526;5
7214;19096;95;2;0;;0;SIN_DATOS;7214;4
24449;245;95;5;0;;0;SIN_DATOS;24449;5
8795;3189;95;3;0;;0;SIN_DATOS;8795;4
144268;19862;95;1;0;;0;SIN_DATOS;144268;6
7904;3410;95;2;0;;0;SIN_DATOS;7904;4
134341;15689;95;3;0;;0;SIN_DATOS;134341;6
55985;19623;5;1;0;;0;SIN_DATOS;55985;5
54554;607;48;1;0;;0;SIN_DATOS;54554;5
59221;4389;95;2;0;;0;SIN_DATOS;59221;5
140176;24706;95;2;0;;0;SIN_DATOS;140176;6
144275;26274;95;2;0;;0;SIN_DATOS;144275;6
11883;25102;29;2;0;;0;SIN_DATOS;11883;5
107998;17597;95;3;0;;0;SIN_DATOS;107998;6
23085;19853;41;1;0;;0;SIN_DATOS;23085;5
69200;9635;95;7;0;;0;SIN_DATOS;69200;5
144638;19987;42;3;0;;0;SIN_DATOS;144638;6
63394;20984;16;3;0;;0;SIN_DATOS;63394;5
157096;22692;95;3;0;;0;SIN_DATOS;157096;6
8795;3180;95;2;0;;0;SIN_DATOS;8795;4
98235;7596;95;2;0;;0;SIN_DATOS;98235;5
99378;7764;95;6;0;;0;SIN_DATOS;99378;5
64608;1909;95;3;0;;0;SIN_DATOS;64608;5
61262;14671;95;2;0;;0;SIN_DATOS;61262;5
119803;26481;95;2;0;;0;SIN_DATOS;119803;6
59077;11709;80;1;0;;0;SIN_DATOS;59077;5
158314;22820;95;5;0;;0;SIN_DATOS;158314;6
62594;19594;H17;3;0;;0;SIN_DATOS;62594;5
13133;13133;885;2;0;;0;SIN_DATOS;13133;5
75608;2696;95;2;0;;0;SIN_DATOS;75608;5
113623;21839;42;1;0;;0;SIN_DATOS;113623;6
22801;23040;95;7;0;;0;SIN_DATOS;22801;5
153916;21922;41;1;0;;0;SIN_DATOS;153916;6
85170;19695;42;3;0;;0;SIN_DATOS;85170;5
71965;12905;16;4;0;;0;SIN_DATOS;71965;5
97938;17907;18;1;0;;0;SIN_DATOS;97938;5
111643;18387;41;1;0;;0;SIN_DATOS;111643;6
84886;26651;41;1;0;;0;SIN_DATOS;84886;5
59493;9525;95;2;0;;0;SIN_DATOS;59493;5
113623;10313;96;8;0;;0;SIN_DATOS;113623;6
89419;23362;5;1;0;;0;SIN_DATOS;89419;5
90912;5068;95;2;0;;0;SIN_DATOS;90912;5
54550;10845;42;1;0;;0;SIN_DATOS;54550;5
9463;22019;95;3;0;;0;SIN_DATOS;9463;4
9463;22020;48;1;0;;0;SIN_DATOS;9463;4
23514;95;95;2;0;;0;SIN_DATOS;23514;5
7214;15546;95;2;0;;0;SIN_DATOS;7214;4
7214;15585;80;1;0;;0;SIN_DATOS;7214;4
23444;1733;80;1;0;;0;SIN_DATOS;23444;5
7409;6633;42;7;0;;0;SIN_DATOS;7409;4
9416;23095;95;2;0;;0;SIN_DATOS;9416;4
8330;23874;95;3;0;;0;SIN_DATOS;8330;4
55024;21161;95;2;0;;0;SIN_DATOS;55024;5
98665;7863;95;8;0;;0;SIN_DATOS;98665;5
23649;106;74;1;0;;0;SIN_DATOS;23649;5
7044;2637;48;2;0;;0;SIN_DATOS;7044;4
126600;26056;95;3;0;;0;SIN_DATOS;126600;6
72263;8069;41;1;0;;0;SIN_DATOS;72263;5
141495;18986;95;2;0;;0;SIN_DATOS;141495;6
99927;15272;95;9;0;;0;SIN_DATOS;99927;5
15844;15844;796;1;0;;0;SIN_DATOS;15844;5
117232;11010;16;117;0;;0;SIN_DATOS;117232;6
7409;3421;41;10;0;;0;SIN_DATOS;7409;4
67486;25712;95;3;0;;0;SIN_DATOS;67486;5
150569;21310;95;3;0;;0;SIN_DATOS;150569;6
66944;8216;95;2;0;;0;SIN_DATOS;66944;5
137596;20421;42;2;0;;0;SIN_DATOS;137596;6
104198;8628;48;2;0;;0;SIN_DATOS;104198;6
23352;280;42;1;0;;0;SIN_DATOS;23352;5
132919;15084;18;2;0;;0;SIN_DATOS;132919;6
23001;26417;95;5;0;;0;SIN_DATOS;23001;5
64608;26437;95;2;0;;0;SIN_DATOS;64608;5
98665;7870;42;1;0;;0;SIN_DATOS;98665;5
70588;13229;17;1;0;;0;SIN_DATOS;70588;5
63181;1492;95;2;0;;0;SIN_DATOS;63181;5
134403;15736;95;5;0;;0;SIN_DATOS;134403;6
62544;21915;20;1;0;;0;SIN_DATOS;62544;5
133200;15153;95;2;0;;0;SIN_DATOS;133200;6
22849;347;95;5;0;;0;SIN_DATOS;22849;5
60031;12935;41;1;0;;0;SIN_DATOS;60031;5
193407;25579;95;2;0;;0;SIN_DATOS;193407;6
111643;18405;95;2;0;;0;SIN_DATOS;111643;6
144638;19987;95;6;0;;0;SIN_DATOS;144638;6
7196;7345;48;2;0;;0;SIN_DATOS;7196;4
70588;13237;41;2;0;;0;SIN_DATOS;70588;5
82747;3367;95;3;0;;0;SIN_DATOS;82747;5
23444;19890;95;3;0;;0;SIN_DATOS;23444;5
129035;14046;95;2;0;;0;SIN_DATOS;129035;6
111548;9893;95;3;0;;0;SIN_DATOS;111548;6
136081;16495;95;2;0;;0;SIN_DATOS;136081;6
7044;2796;95;5;0;;0;SIN_DATOS;7044;4
9463;22041;59;2;0;;0;SIN_DATOS;9463;4
73676;21550;95;3;0;;0;SIN_DATOS;73676;5
23089;8370;95;3;0;;0;SIN_DATOS;23089;5
278;278;95;3;0;;0;SIN_DATOS;278;3
106877;25746;41;3;0;;0;SIN_DATOS;106877;6
24546;9012;95;2;0;;0;SIN_DATOS;24546;5
7006;16462;42;1;0;;0;SIN_DATOS;7006;4
113623;15615;42;1;0;;0;SIN_DATOS;113623;6
55026;931;95;5;0;;0;SIN_DATOS;55026;5
66944;7725;95;4;0;;0;SIN_DATOS;66944;5
151024;21395;41;1;0;;0;SIN_DATOS;151024;6
24546;7247;92;2;0;;0;SIN_DATOS;24546;5
224449;26593;95;3;0;;0;SIN_DATOS;224449;6
89650;4330;95;3;0;;0;SIN_DATOS;89650;5
120215;25754;20;1;0;;0;SIN_DATOS;120215;6
60776;25636;26;1;0;;0;SIN_DATOS;60776;5
141788;19304;41;1;0;;0;SIN_DATOS;141788;6
102591;17874;15;1;0;;0;SIN_DATOS;102591;6
123713;12901;95;2;0;;0;SIN_DATOS;123713;6
142378;19453;95;14;0;;0;SIN_DATOS;142378;6
105250;8933;95;2;0;;0;SIN_DATOS;105250;6
82747;3206;41;1;0;;0;SIN_DATOS;82747;5
96577;7270;95;2;0;;0;SIN_DATOS;96577;5
153916;22807;48;2;0;;0;SIN_DATOS;153916;6
7214;946;95;3;0;;0;SIN_DATOS;7214;4
124387;13067;95;13;0;;0;SIN_DATOS;124387;6
65759;19391;95;2;0;;0;SIN_DATOS;65759;5
23973;124;41;1;0;;0;SIN_DATOS;23973;5
75608;2675;95;7;0;;0;SIN_DATOS;75608;5
24097;1759;41;1;0;;0;SIN_DATOS;24097;5
8330;23826;95;2;0;;0;SIN_DATOS;8330;4
59493;9517;41;2;0;;0;SIN_DATOS;59493;5
63394;24478;41;1;0;;0;SIN_DATOS;63394;5
24546;7247;95;5;0;;0;SIN_DATOS;24546;5
22931;10459;95;2;0;;0;SIN_DATOS;22931;5
173850;25839;42;3;0;;0;SIN_DATOS;173850;6
7242;17406;41;1;0;;0;SIN_DATOS;7242;4
70588;13227;95;8;0;;0;SIN_DATOS;70588;5
8330;23877;42;1;0;;0;SIN_DATOS;8330;4
103748;8597;95;2;0;;0;SIN_DATOS;103748;6
102591;25019;100;1;0;;0;SIN_DATOS;102591;6
22949;17487;95;3;0;;0;SIN_DATOS;22949;5
13467;13467;48;1;0;;0;SIN_DATOS;13467;5
69289;26665;95;20;0;;0;SIN_DATOS;69289;5
24097;1759;95;2;0;;0;SIN_DATOS;24097;5
63394;15281;41;2;0;;0;SIN_DATOS;63394;5
86429;21449;95;3;0;;0;SIN_DATOS;86429;5
158278;22808;95;2;0;;0;SIN_DATOS;158278;6
21135;21135;95;5;0;;0;SIN_DATOS;21135;5
54556;612;95;6;0;;0;SIN_DATOS;54556;5
125657;13340;48;1;0;;0;SIN_DATOS;125657;6
80448;3032;42;5;0;;0;SIN_DATOS;80448;5
70588;2244;95;5;0;;0;SIN_DATOS;70588;5
22888;380;41;6;0;;0;SIN_DATOS;22888;5
90912;26578;95;2;0;;0;SIN_DATOS;90912;5
141496;22586;95;1;0;;0;SIN_DATOS;141496;6
125009;14129;95;5;0;;0;SIN_DATOS;125009;6
64990;2766;26;1;0;;0;SIN_DATOS;64990;5
9463;22055;59;1;0;;0;SIN_DATOS;9463;4
56948;1472;42;2;0;;0;SIN_DATOS;56948;5
75979;23355;95;2;0;;0;SIN_DATOS;75979;5
64608;26445;95;2;0;;0;SIN_DATOS;64608;5
81865;25936;95;2;0;;0;SIN_DATOS;81865;5
65770;23708;95;2;0;;0;SIN_DATOS;65770;5
90912;5063;95;2;0;;0;SIN_DATOS;90912;5
22739;1193;48;2;0;;0;SIN_DATOS;22739;5
84207;4953;41;4;0;;0;SIN_DATOS;84207;5
7214;17833;95;22;0;;0;SIN_DATOS;7214;4
22739;1193;95;3;0;;0;SIN_DATOS;22739;5
128812;14008;48;1;0;;0;SIN_DATOS;128812;6
23251;79;48;1;0;;0;SIN_DATOS;23251;5
55081;25932;95;6;0;;0;SIN_DATOS;55081;5
