COMPAÑÍA,COD CLIENTE,COD UNID,COD_SERV_JOIN,F. Inicio,Fecha Fin,Requeridos_sum,PersonalEstimado_sum,CLIENTE,UNIDAD,SERVICIO,Lider Zonal,Zona,macro zona,Personal Real,Deficit/Superavit,% Cobertura,% Cobertura Sobrante/Faltante,Estado
J&V Resguardo S.A.C.,9463,25675,59,2024-07-10,2099-12-31,1,1.0,BANCO INTERNACIONAL DEL PERU-INTERBANK,INTERBANK TIENDA MORELLI,AGENTE SEGURIDAD 12 HRS L/V + 06 HRS SÁB DÍA,LUIS PEREZ,ZONA C8,ZONA CENTRO,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,117452,11122,18,2024-08-13,2099-12-31,1,1.0,LAU VIDAL S.A.C,LAVISAC LURIN,AGENTE SEGURIDAD 08 HRS L/S DÍA,WILMAR SALAS,ZONA S4,ZONA SUR,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,83736,21996,42,2025-05-03,2025-05-08,1,1.1666666666666667,MARCOBRE S.A.C.,SERV. ADIC. MARCOBRE AREQUIPA MATARANI,AGENTE SEGURIDAD 12 HRS L/D NOCHE,PERCY PEREZ,REGION AREQUIPA,REGION SUR,0,,,,Déficit
J&V Resguardo S.A.C.,68590,20033,95,2023-05-03,2099-12-31,4,4.666666666666667,REFINERIA LA PAMPILLA S.A.A,RELAPASA REFINERÍA LA PAMPILLA VENTANILLA,AGENTE SEGURIDAD 24 HRS L/D,ALEXANDER ASCANIO,ZONA N5,ZONA NORTE,64,59.333333333333336,1371.4285714285713,1271.4285714285713,Excedente
J&V Resguardo S.A.C.,24467,247,95,2022-05-01,2099-12-31,4,4.666666666666667,SERVICIOS BANCARIOS COMPARTIDOS S A,UNIBANCA LOCAL MIRAFLORES,AGENTE SEGURIDAD 24 HRS L/D,CARLOS BRACAMONTE,ZONA C12,ZONA CENTRO,5,0.33333333333333304,107.14285714285714,7.14285714285714,Excedente
J&V Resguardo S.A.C.,56913,19736,E51,2022-03-01,2099-12-31,2,2.3333333333333335,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,BACKUS SEDE ADMINISTRATIVA,RESGUARDO ESPECIAL 12 HRS L/D DÍA,ESTEBAN CANDELA,ZONA C2,ZONA CENTRO,3,0.6666666666666665,128.57142857142856,28.57142857142856,Excedente
J&V Resguardo S.A.C.,70314,26627,95,2025-05-03,2099-12-31,2,2.3333333333333335,VIVA NEGOCIO INMOBILIARIO S.A.C.,VIVA SEDE BARRANCO,AGENTE SEGURIDAD 24 HRS L/D,CARLOS BRACAMONTE,ZONA C12,ZONA CENTRO,3,0.6666666666666665,128.57142857142856,28.57142857142856,Excedente
Liderman Servicios S.A.C.,76629,23627,F36,2023-07-01,2099-12-31,1,1.1666666666666667,ALTEK TRADING SOCIEDAD ANONIMA CERRADA-ALTEK TRADI,CC MEGA PLAZA PARKING DESCANSERO,AGENTE PARKING 08 HRS L/D DÍA,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,0,,,,Déficit
J&V Resguardo S.A.C.,98454,25173,P50,2024-04-01,2099-12-31,2,2.0,XIMESA S.A.C.,REYPLAST PATRIMONIAL ATE,INSPECTOR DE PATRIMONIO 08 HRS L/S DÍA (NIVEL 2A),JOSE SIFUENTES,ZONA C3,ZONA CENTRO,2,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,64990,2151,26,2021-03-01,2099-12-31,1,1.0,FINANCIERA QAPAQ S.A.,QAPAQ AGENCIA COMAS,AGENTE SEGURIDAD 10 HRS L/S DIA,LUIS PEREZ,ZONA C8,ZONA CENTRO,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,98914,7699,95,2021-10-01,2099-12-31,2,2.3333333333333335,NEW COMPANY DEL PERU S.A.,YOY LIMA BOX PARK,AGENTE SEGURIDAD 24 HRS L/D,JUAN CANGALAYA,ZONA RT1,ZONA RETAIL,2,-0.3333333333333335,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,71436,14023,156,2022-04-08,2099-12-31,1,1.0,ALICORP SAA,ALICORP OFICINA MIRAFLORES,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),CARLOS BRACAMONTE,ZONA C12,ZONA CENTRO,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,7592,4992,374,2025-01-01,2099-12-31,3,5.25,COMPAÑIA MINERA ANTAMINA S.A.,ANTAMINA MINA HUARAZ,OPERADOR CENTRO CONTROL 08 HRS L/D DIA,GINO GONZALES,REGION HUARAZ,REGION NORTE,2,-3.25,38.095238095238095,-61.904761904761905,Déficit
J&V Resguardo S.A.C.,152598,21702,K23,2024-08-31,2099-12-31,2,2.3333333333333335,CLINICA VALLESUR S.A.,AUNA CLÍNICA VALLESUR AREQUIPA,AGENTE PREVENCIÓN 24 HRS L/D,PERCY PEREZ,REGION AREQUIPA,REGION SUR,10,7.666666666666666,428.57142857142856,328.57142857142856,Excedente
J&V Resguardo S.A.C.,23418,25493,41,2024-04-01,2099-12-31,1,1.1666666666666667,IMPALA TERMINALS PERU S.A.C.,IMPALA MORA OPERACIONES,AGENTE SEGURIDAD 12 HRS L/D DÍA,SANTIAGO BRAVO,ZONA N9,ZONA NORTE,1,-0.16666666666666674,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,55081,7505,151,2023-11-01,2099-12-31,1,1.1666666666666667,MAERSK LOGISTICS & SERVICES PERU S.A.,APM INLAND ALMACÉN PAITA,SUPERVISOR SEGURIDAD 12 HRS L/D (DIA),JUAN CRUZ,REGION PIURA,REGION NORTE,1,-0.16666666666666674,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,173925,26499,40,2025-03-30,2025-05-25,0,0.16666666666666666,OTOYA MH SAC,SERV. ADIC. OTOYA REPSOL ESTACIÓN SAN CRISTOBAL RIMAC,AGENTE SEGURIDAD 12 HRS DOM DÍA,WALTER MONTIEL,ZONA N3,ZONA NORTE,0,,,,Déficit
J&V Resguardo S.A.C.,75604,2603,95,2014-04-01,2099-12-31,2,2.3333333333333335,EXSA S A,EXSA TACNA (PLANTA DINAMITA),AGENTE SEGURIDAD 24 HRS L/D,BERARDO ROMERO,REGION TACNA,REGION SUR,4,1.6666666666666665,171.42857142857142,71.42857142857142,Excedente
J&V Resguardo S.A.C.,59221,4389,95,2016-03-05,2099-12-31,2,2.3333333333333335,LUCKY S.A.C.,LUCKY LOCAL LA VICTORIA,AGENTE SEGURIDAD 24 HRS L/D,WILFREDO NEIRA,ZONA C4,ZONA CENTRO,2,-0.3333333333333335,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,59493,17659,42,2016-08-01,2099-12-31,1,1.1666666666666667,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP INSTITUTO DE RADIOASTRONOMÍA,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ALEJANDRO RIVAS,ZONA N8,ZONA NORTE,1,-0.16666666666666674,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,7409,3421,48,2024-04-25,2099-12-31,1,1.0,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC CAMPUS VILLA CHORRILLOS,AGENTE SEGURIDAD 12 HRS L/S DÍA,GABRIEL HERNANDEZ,ZONA S3,ZONA SUR,6,5.0,600.0,500.0,Excedente
J&V Resguardo S.A.C.,177103,26013,95,2024-10-01,2025-05-08,6,7.0,ASOCIACION CIVIL CENTRO CULTURAL DEPORTIVO LIMA,CLUB CULTURAL DEPORTIVO LIMA SEDE CHORRILLOS,AGENTE SEGURIDAD 24 HRS L/D,WILMAR SALAS,ZONA S4,ZONA SUR,0,,,,Déficit
J&V Resguardo S.A.C.,23418,7803,95,2024-05-01,2099-12-31,4,4.666666666666667,IMPALA TERMINALS PERU S.A.C.,IMPALA LOCAL MARIÁTEGUI,AGENTE SEGURIDAD 24 HRS L/D,SANTIAGO BRAVO,ZONA N9,ZONA NORTE,5,0.33333333333333304,107.14285714285714,7.14285714285714,Excedente
J&V Resguardo S.A.C.,9463,22064,K84,2022-08-01,2099-12-31,1,1.0,BANCO INTERNACIONAL DEL PERU-INTERBANK,INTERBANK RESGUARDOS,RESGUARDO GERENCIA 12 HRS L/S DÍA,VICTOR REATEGUI,ZONA CR1,ZONA RESGUARDOS,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,144133,21689,K28,2022-05-01,2099-12-31,1,1.1666666666666667,ONCOCENTER PERU S.A.C.,AUNA ONCO 5 GUARDIA CIVIL SAN BORJA CDRA. 5,AGENTE PREVENCIÓN 12 HRS L/D DÍA,GEORGE GARCIA,ZONA S1,ZONA SUR,1,-0.16666666666666674,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,102591,8356,372,2025-01-01,2099-12-31,2,2.0,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN SEDE CENTRO BREÑA,AGENTE SEGURIDAD 08 HRS L/S TARDE,JORGE VILCHEZ,ZONA C9,ZONA CENTRO,2,0.0,100.0,0.0,Completo
Liderman Facilities S.A.C.,54553,26371,O31,2025-01-01,2099-12-31,1,1.0,PROMOTORA DE TURISMO NUEVO MUNDO S.A.C.,NUEVO MUNDO CERCADO DE LIMA,OPERARIO 04 HRS L/S DÍA,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,117232,11010,976,2020-06-01,2099-12-31,2,4.0,COMPAÑIA MINERA ANTAPACCAY S.A.,MINA,CONTROLADOR DE SEGURIDAD 1 - 08 HRS L/D (DÍA),JOSE CANAL BACA,REGION CUZCO,REGION SUR,3,-1.0,75.0,-25.0,Déficit
J&V Resguardo S.A.C.,23649,352,95,2019-07-01,2099-12-31,10,11.666666666666666,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,PLANTA AREQUIPA,AGENTE SEGURIDAD 24 HRS L/D,PERCY PEREZ,REGION AREQUIPA,REGION SUR,12,0.3333333333333339,102.85714285714288,2.857142857142869,Excedente
J&V Resguardo S.A.C.,9463,22020,95,2022-08-01,2099-12-31,2,2.3333333333333335,BANCO INTERNACIONAL DEL PERU-INTERBANK,INTERBANK SEDE CENTRO TECNOLÓGICO CAMANÁ LIMA,AGENTE SEGURIDAD 24 HRS L/D,RONNIE SIMON,ZONA C5,ZONA CENTRO,2,-0.3333333333333335,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,54559,26381,113,2025-04-12,2099-12-31,2,2.3333333333333335,CHIMU AGROPECUARIA S.A.,CHIMU AGROPECUARIA TRUJILLO,OPERADOR CENTRO CONTROL 24 HRS L/D,JAN INGA,REGION TRUJILLO,REGION NORTE,2,-0.3333333333333335,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,131380,14707,49,2024-07-10,2099-12-31,1,1.0,PERUANA DE MOLDEADOS S.A.C.,PAMOLSA PLANTA FAUCETT,AGENTE SEGURIDAD 12 HRS L/S NOCHE,ALEXANDER ASCANIO,ZONA N5,ZONA NORTE,1,0.0,100.0,0.0,Completo
Liderman Servicios S.A.C.,54550,25949,L58,2024-09-16,2099-12-31,1,1.1666666666666667,HIPERMERCADOS TOTTUS S.A.,TOTTUS AREQUIPA PARRA PARKING,AGENTE PARKING 12 HRS L/D TARDE,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,1,-0.16666666666666674,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,23444,93,95,2024-12-10,2099-12-31,2,2.3333333333333335,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SO,PLANTA HUACHIPA,AGENTE SEGURIDAD 24 HRS L/D,ANDERSON GUTARA,ZONA C1,ZONA CENTRO,10,7.666666666666666,428.57142857142856,328.57142857142856,Excedente
J&V Resguardo S.A.C.,23418,21844,95,2022-05-01,2099-12-31,2,2.3333333333333335,IMPALA TERMINALS PERU S.A.C.,IMPALA CALLAO BALANZA,AGENTE SEGURIDAD 24 HRS L/D,SANTIAGO BRAVO,ZONA N9,ZONA NORTE,2,-0.3333333333333335,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,110175,9666,084,2022-05-01,2099-12-31,1,1.0,LABORATORIOS LANSIER S.A.C.,LANSIER LOCAL BREÑA,INSPECTOR DE PATRIMONIO 12 HRS L/V DÍA,JORGE VILCHEZ,ZONA C9,ZONA CENTRO,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,156823,22615,101,2022-12-01,2099-12-31,1,1.0,CALIZA CEMENTO INCA S.A.,CALIZA CEMENTO INCA SEDE CAJAMARQUILLA,JEFE DE GRUPO 12 HRS L/S NOCHE,JOSE SIFUENTES,ZONA C3,ZONA CENTRO,0,,,,Déficit
J&V Resguardo Selva S.A.C.,74359,25096,48,2024-04-06,2099-12-31,1,1.0,ORVISA SOCIEDAD ANONIMA,NUEVA OFICINA HUÁNUCO,AGENTE SEGURIDAD 12 HRS L/S DÍA,JUAN YACHA,REGION HUANUCO,REGION CENTRO,0,,,,Déficit
J&V Resguardo S.A.C.,23444,475,42,2024-03-01,2099-12-31,1,1.1666666666666667,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SO,CARRETERA A PIMENTEL LA GARITA CHICLAYO,AGENTE SEGURIDAD 12 HRS L/D NOCHE,DARCY SAMILLAN,REGION CHICLAYO,REGION NORTE,2,0.8333333333333333,171.42857142857142,71.42857142857142,Excedente
J&V Resguardo S.A.C.,60776,26645,42,2025-05-13,2025-05-16,1,1.1666666666666667,HERMES TRANSPORTES BLINDADOS  S A,SERV. ADIC. BANCO DE LA NACION MOQUEGUA PUQUINA,AGENTE SEGURIDAD 12 HRS L/D NOCHE,PERCY PEREZ,REGION AREQUIPA,REGION SUR,0,,,,Déficit
J&V Resguardo S.A.C.,59493,17638,48,2023-01-09,2099-12-31,1,1.0,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP ESTUDIOS GRALES. CIENCIAS EE.GG.CC,AGENTE SEGURIDAD 12 HRS L/S DÍA,ALEJANDRO RIVAS,ZONA N8,ZONA NORTE,2,1.0,200.0,100.0,Excedente
J&V Resguardo S.A.C.,71436,14365,42,2025-05-12,2025-05-13,2,2.3333333333333335,ALICORP SAA,SERV. ADIC. ALICORP DT PREDIO CENTRAL,AGENTE SEGURIDAD 12 HRS L/D NOCHE,JORGE NAKANO,ZONA N1,ZONA NORTE,0,,,,Déficit
J&V Resguardo S.A.C.,168123,23901,41,2025-03-10,2099-12-31,1,1.1666666666666667,COMFER S A EN LIQUIDACION,COMFER ALMACÉN CALLAO,AGENTE SEGURIDAD 12 HRS L/D DÍA,JORGE NAKANO,ZONA N1,ZONA NORTE,1,-0.16666666666666674,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,24546,23707,895,2024-01-10,2099-12-31,1,1.0,TRUPAL S.A.,EDIFICIO PRINCIPAL RESGUARDOS,CONDUCTOR SEGURIDAD 12 HRS L/S DÍA,JORGE DELGADO,ZONA CR2,ZONA RESGUARDOS,2,1.0,200.0,100.0,Excedente
J&V Resguardo S.A.C.,93918,24648,95,2023-11-01,2099-12-31,4,4.666666666666667,CONSORCIO TRANSMANTARO S.A.,CTM SE YAROS HUÁNUCO,AGENTE SEGURIDAD 24 HRS L/D,JUAN YACHA,REGION HUANUCO,REGION CENTRO,5,0.33333333333333304,107.14285714285714,7.14285714285714,Excedente
Liderman Servicios S.A.C.,54550,25960,L58,2024-09-16,2099-12-31,1,1.1666666666666667,HIPERMERCADOS TOTTUS S.A.,HB UNO GUARDIA CIVIL CHORRILLOS PARKING,AGENTE PARKING 12 HRS L/D TARDE,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,1,-0.16666666666666674,85.71428571428571,-14.28571428571429,Déficit
