Cliente_Final,COD UNID,Servicio_Limpio,Personal_Real,Compañía_PA,Nombre_Cliente_PA,Nombre_Unidad_PA,Nombre_Servicio_PA,Clave_Mezclado,Cliente_Final_right,Unidad_Str,Servicio_Limpio_right,Personal_Estimado,Compañía_SV,Nombre_Cliente_SV,Nombre_Unidad_SV,Nombre_Servicio_SV,Zona_SV,Macrozona_SV,Diferencia,Cobertura_Pct,Estado
187115,25068.0,42,1,J&V Resguardo S.A.C.,UNIVERSIDAD CATOLICA SEDES SAPIENTIAE,UCSS Campus Santa María Huaura,AGENTE SEGURIDAD 12 HRS L/D NOCHE,187115_25068_42,187115,25068,42,1.1666666666666667,J&V Resguardo S.A.C.,UNIVERSIDAD CATOLICA SEDES SAPIENTIAE,UCSS Campus Santa María Huaura,AGENTE SEGURIDAD 12 HRS L/D NOCHE,REGION HUACHO,REGION NORTE,-0.17,85.71,FALTA
82747,3373.0,965,1,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,Residencia O.E.B.,CONDUCTOR RESGUARDO 15 HRS. L/S (DÍA),82747_3373_965,82747,3373,965,1.1666666666666667,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,Residencia O.E.B.,CONDUCTOR RESGUARDO 15 HRS. L/S (DÍA),ZONA CR1,ZONA RESGUARDOS,-0.17,85.71,FALTA
8601,8306.0,649,2,J&V Resguardo S.A.C.,SOCIEDAD MINERA EL BROCAL S.A.A.,SMEB Mina Colquijirca,SUPERVISOR RESIDENTE 24 HRS L/D,8601_8306_649,8601,8306,649,3.0,J&V Resguardo S.A.C.,SOCIEDAD MINERA EL BROCAL S.A.A.,SMEB Mina Colquijirca,SUPERVISOR RESIDENTE 24 HRS L/D,REGION PASCO,REGION CENTRO,-1.0,66.67,FALTA
9463,17743.0,59,1,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Interbank Puruchuco Ate,AGENTE SEGURIDAD 12 HRS L/V + 06 HRS SÁB DÍA,9463_17743_59,9463,17743,59,1.0,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Interbank Puruchuco Ate,AGENTE SEGURIDAD 12 HRS L/V + 06 HRS SÁB DÍA,ZONA C8,ZONA CENTRO,0.0,100.0,EXACTO
,,,0,,,,,64432_2592_093,64432,2592,093,2.0,J&V Resguardo S.A.C.,CORPORACION PERUANA DE PRODUCTOS QUIMICOS S.A. - C,CPPQ Planta Ñaña,INSPECTOR DE PATRIMONIO 24 HRS L/S,ZONA C1,ZONA CENTRO,,,INDETERMINADO
128110,23717.0,42,1,J&V Resguardo S.A.C.,TECHINT S.A.C.,Techint Tepam Chincha (Tareo),AGENTE SEGURIDAD 12 HRS L/D NOCHE,128110_23717_42,128110,23717,42,1.1666666666666667,J&V Resguardo S.A.C.,TECHINT S.A.C.,Techint Tepam Chincha (Tareo),AGENTE SEGURIDAD 12 HRS L/D NOCHE,REGION ICA,REGION SUR,-0.17,85.71,FALTA
54554,4546.0,95,3,J&V Resguardo S.A.C.,PROFUTURO AFP,Profuturo San Isidro,AGENTE SEGURIDAD 24 HRS L/D,54554_4546_95,54554,4546,95,2.3333333333333335,J&V Resguardo S.A.C.,PROFUTURO AFP,Profuturo San Isidro,AGENTE SEGURIDAD 24 HRS L/D,ZONA C6,ZONA CENTRO,0.67,128.57,SOBRECARGA
,,,0,,,,,59493_17648_18,59493,17648,18,1.0,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Facultad de Educación,AGENTE SEGURIDAD 08 HRS L/S DÍA,ZONA N8,ZONA NORTE,,,INDETERMINADO
22739,26261.0,48,2,J&V Resguardo S.A.C.,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRADA,Binswanger Edificio CEJA San Isidro,AGENTE SEGURIDAD 12 HRS L/S DÍA,22739_26261_48,22739,26261,48,2.0,J&V Resguardo S.A.C.,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,Binswanger Edificio CEJA San Isidro,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA C6,ZONA CENTRO,0.0,100.0,EXACTO
70588,2291.0,882,2,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Chimbote,PREVENCIONISTA 24 HRS L/D,70588_2291_882,70588,2291,882,2.3333333333333335,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Chimbote,PREVENCIONISTA 24 HRS L/D,REGION CHIMBOTE,REGION NORTE,-0.33,85.71,FALTA
212087,26622.0,Q75,1,Liderman Facilities S.A.C.,LIDERMAN FACILITIES S.A.C.,Facilities Chorrillos - Oficinas,OPERARIO 12 HRS L/S DÍA,212087_26622_Q75,212087,26622,Q75,1.0,Liderman Facilities S.A.C.,LIDERMAN FACILITIES S.A.C.,Facilities Chorrillos - Oficinas,OPERARIO 12 HRS L/S DÍA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,0.0,100.0,EXACTO
22888,25583.0,789,1,J&V Resguardo S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,Hiraoka Tienda Independencia (Resguardos),RESGUARDO 12 HRS L/S NIVEL 3 (DÍA),22888_25583_789,22888,25583,789,1.0,J&V Resguardo S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,Hiraoka Tienda Independencia (Resguardos),RESGUARDO 12 HRS L/S NIVEL 3 (DÍA),ZONA CR1,ZONA RESGUARDOS,0.0,100.0,EXACTO
141182,18941.0,26,2,J&V Resguardo S.A.C.,UBER PERU S.A.C.,Uber Local Lince,AGENTE SEGURIDAD 10 HRS L/S DIA,141182_18941_26,141182,18941,26,2.0,J&V Resguardo S.A.C.,UBER PERU S.A.C.,Uber Local Lince,AGENTE SEGURIDAD 10 HRS L/S DIA,ZONA C7,ZONA CENTRO,0.0,100.0,EXACTO
207294,26066.0,Q12,1,J&V Resguardo S.A.C.,"HIRAOKA TORRES, CARMEN ROSA",Hiraoka Tienda Miraflores (Controladores),CONDUCTOR I 12 HRS L/S (DÍA),207294_26066_Q12,207294,26066,Q12,1.0,J&V Resguardo S.A.C.,"HIRAOKA TORRES, CARMEN ROSA",Hiraoka Tienda Miraflores (Controladores),CONDUCTOR I 12 HRS L/S (DÍA),ZONA CR1,ZONA RESGUARDOS,0.0,100.0,EXACTO
23444,93.0,42,4,J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SOCIEDAD ANONIMA,Planta Huachipa,AGENTE SEGURIDAD 12 HRS L/D NOCHE,23444_93_42,23444,93,42,3.5,J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SO,Planta Huachipa,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ZONA C1,ZONA CENTRO,0.5,114.29,SOBRECARGA
24097,1759.0,41,1,J&V Resguardo S.A.C.,PERUFARMA S A,Perufarma Sede Schick,AGENTE SEGURIDAD 12 HRS L/D DÍA,24097_1759_41,24097,1759,41,1.1666666666666667,J&V Resguardo S.A.C.,PERUFARMA S A,Perufarma Sede Schick,AGENTE SEGURIDAD 12 HRS L/D DÍA,ZONA C9,ZONA CENTRO,-0.17,85.71,FALTA
,,,0,,,,,147836_21398_42,147836,21398,42,1.1666666666666667,J&V Resguardo S.A.C.,COCORICO S A,Cocorico Vegueta Medio Mundo,AGENTE SEGURIDAD 12 HRS L/D NOCHE,REGION HUACHO,REGION NORTE,,,INDETERMINADO
143212,21985.0,95,2,J&V Resguardo S.A.C.,COMPAÑIA MINERA SANTA LUISA S.A.,Minera Santa Luisa Pativilca,AGENTE SEGURIDAD 24 HRS L/D,143212_21985_95,143212,21985,95,2.3333333333333335,J&V Resguardo S.A.C.,COMPAÑIA MINERA SANTA LUISA S.A.,Minera Santa Luisa Pativilca,AGENTE SEGURIDAD 24 HRS L/D,REGION HUARAZ,REGION NORTE,-0.33,85.71,FALTA
63449,3307.0,95,2,J&V Resguardo S.A.C.,DISTRIBUIDORA FARMACEUTICA LA LIBERTAD S.A.C. - DIFARLIB S.A.C.,Difarlib Residencia Trujillo,AGENTE SEGURIDAD 24 HRS L/D,63449_3307_95,63449,3307,95,2.3333333333333335,J&V Resguardo S.A.C.,DISTRIBUIDORA FARMACEUTICA LA LIBERTAD S.A.C. - DI,Difarlib Residencia Trujillo,AGENTE SEGURIDAD 24 HRS L/D,REGION TRUJILLO,REGION NORTE,-0.33,85.71,FALTA
111548,26493.0,95,1,J&V Resguardo S.A.C.,CENTENARIO DESARROLLO URBANO S.A.C,Valle Real III Huancayo Sapallanga,AGENTE SEGURIDAD 24 HRS L/D,111548_26493_95,111548,26493,95,2.3333333333333335,J&V Resguardo S.A.C.,CENTENARIO DESARROLLO URBANO S.A.C,Valle Real III Huancayo Sapallanga,AGENTE SEGURIDAD 24 HRS L/D,REGION JUNIN,REGION CENTRO,-1.33,42.86,FALTA
23019,9468.0,944,2,J&V Resguardo S.A.C.,SANTILLANA SA,Santillana Local Punta Hermosa,AGENTE SEGURIDAD 10:30 HRS L/V  DIA,23019_9468_944,23019,9468,944,2.0,J&V Resguardo S.A.C.,SANTILLANA SA,Santillana Local Punta Hermosa,AGENTE SEGURIDAD 10:30 HRS L/V  DIA,ZONA S5,ZONA SUR,0.0,100.0,EXACTO
,,,0,,,,,7139_21007_L56,7139,21007,L56,1.0,J&V Resguardo S.A.C.,BANCO DE CREDITO DEL PERU,BCP Sede Central La Molina,ANALISTA DE CONTROL INTERNO 08 HRS L/V DIA,CENTRO DE CONTROL LIMA - BCP,ZONA CENTRO,,,INDETERMINADO
62544,21914.0,M02,1,J&V Resguardo S.A.C.,FARMINDUSTRIA S.A.,Farmindustria Planta Mariscal Miller Lince,AGENTE FEMENINO 12 HRS L/V DÍA,62544_21914_M02,62544,21914,M02,1.0,J&V Resguardo S.A.C.,FARMINDUSTRIA S.A.,Farmindustria Planta Mariscal Miller Lince,AGENTE FEMENINO 12 HRS L/V DÍA,ZONA C6,ZONA CENTRO,0.0,100.0,EXACTO
,,,0,,,,,80448_14878_95,80448,14878,95,2.3333333333333335,J&V Resguardo S.A.C.,PROCESADORA INDUSTRIAL RIO SECO S.A.,Serv. Adic. Monitoreo Ambiental Chancay,AGENTE SEGURIDAD 24 HRS L/D,REGION HUACHO,REGION NORTE,,,INDETERMINADO
70948,11279.0,41,1,J&V Resguardo S.A.C.,INCA RAIL S.A.,Inca Rail Boletería Ollantaytambo Cusco,AGENTE SEGURIDAD 12 HRS L/D DÍA,70948_11279_41,70948,11279,41,1.1666666666666667,J&V Resguardo S.A.C.,INCA RAIL S.A.,Inca Rail Boletería Ollantaytambo Cusco,AGENTE SEGURIDAD 12 HRS L/D DÍA,REGION CUZCO,REGION SUR,-0.17,85.71,FALTA
141641,19026.0,48,1,J&V Resguardo S.A.C.,CBC MARKET S.A.C.,CBC Sala de Ventas Lima Norte Callao,AGENTE SEGURIDAD 12 HRS L/S DÍA,141641_19026_48,141641,19026,48,1.0,J&V Resguardo S.A.C.,CBC MARKET S.A.C.,CBC Sala de Ventas Lima Norte Callao,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA N3,ZONA NORTE,0.0,100.0,EXACTO
,,,0,,,,,78042_8404_07,78042,8404,07,1.0,J&V Resguardo S.A.C.,APM TERMINALS CALLAO SOCIEDAD ANONIMA,APM Callao Security,AGENTE RECEPCIONISTA 08 HRS L/S (DÍA),ZONA N6,ZONA NORTE,,,INDETERMINADO
73633,26376.0,95,5,J&V Resguardo S.A.C.,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,Fargoline Local Anexo 2 (Primax),AGENTE SEGURIDAD 24 HRS L/D,73633_26376_95,73633,26376,95,4.666666666666667,J&V Resguardo S.A.C.,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,Fargoline Local Anexo 2 (Primax),AGENTE SEGURIDAD 24 HRS L/D,ZONA RT2,ZONA RETAIL,0.33,107.14,SOBRECARGA
55024,21151.0,48,1,J&V Resguardo S.A.C.,DP WORLD LOGISTICS S.R.L.,DPW Logistics Gambetta 1 Operaciones,AGENTE SEGURIDAD 12 HRS L/S DÍA,55024_21151_48,55024,21151,48,1.0,J&V Resguardo S.A.C.,DP WORLD LOGISTICS S.R.L.,DPW Logistics Gambetta 1 Operaciones,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA N5,ZONA NORTE,0.0,100.0,EXACTO
148081,20951.0,95,2,J&V Resguardo S.A.C.,GARMENT TRADING S.A.C.,Garment Trading Sede Ate,AGENTE SEGURIDAD 24 HRS L/D,148081_20951_95,148081,20951,95,2.3333333333333335,J&V Resguardo S.A.C.,GARMENT TRADING S.A.C.,Garment Trading Sede Ate,AGENTE SEGURIDAD 24 HRS L/D,ZONA C2,ZONA CENTRO,-0.33,85.71,FALTA
,,,0,,,,,8601_8306_41,8601,8306,41,1.5,J&V Resguardo S.A.C.,SOCIEDAD MINERA EL BROCAL S.A.A.,SMEB Mina Colquijirca,AGENTE SEGURIDAD 12 HRS L/D DÍA,REGION PASCO,REGION CENTRO,,,INDETERMINADO
,,,0,,,,,59493_17668_375,59493,17668,375,1.1666666666666667,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Direcc. de Gestión Inmobiliaria Oper. San Isidro,OPERADOR CENTRO CONTROL 08 HRS L/D TARDE,ZONA C6,ZONA CENTRO,,,INDETERMINADO
108343,26580.0,95,3,J&V Resguardo Selva SAC,PALMAS DEL ESPINO S.A.,Palmas del Espino Chaparral,AGENTE SEGURIDAD 24 HRS L/D,108343_26580_95,108343,26580,95,3.0,J&V Resguardo Selva S.A.C.,PALMAS DEL ESPINO S.A.,Palmas del Espino Chaparral,AGENTE SEGURIDAD 24 HRS L/D,REGION UCAYALI,REGION ORIENTE,0.0,100.0,EXACTO
113623,11036.0,476,2,J&V Resguardo S.A.C.,COMPANIA MINERA ARES S.A.C.,Serv. Adic. ARES Resguardos,RESGUARDO 12 HRS L/D DÍA,113623_11036_476,113623,11036,476,14.000000000000002,J&V Resguardo S.A.C.,COMPANIA MINERA ARES S.A.C.,Serv. Adic. ARES Resguardos,RESGUARDO 12 HRS L/D DÍA,ZONA CR1,ZONA RESGUARDOS,-12.0,14.29,FALTA
54550,23335.0,F36,1,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,Tottus Sede Quilca Parking,AGENTE PARKING 08 HRS L/D DÍA,54550_23335_F36,54550,23335,F36,1.1666666666666667,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,Tottus Sede Quilca Parking,AGENTE PARKING 08 HRS L/D DÍA,ZONA PD2,ZONA PARKING Y DELIVERY,-0.17,85.71,FALTA
22888,1147.0,42,1,J&V Resguardo S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,Hiraoka Almacén Argentina II,AGENTE SEGURIDAD 12 HRS L/D NOCHE,22888_1147_42,22888,1147,42,1.1666666666666667,J&V Resguardo S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,Hiraoka Almacén Argentina II,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ZONA N1,ZONA NORTE,-0.17,85.71,FALTA
,,,0,,,,,72263_5221_519,72263,5221,519,2.3333333333333335,J&V Resguardo S.A.C.,INVERSIONES SAN BORJA S A,Serv. Adic. La Rambla San Borja,AGENTE SEGURIDAD 08 HRS L/D TARDE,ZONA S1,ZONA SUR,,,INDETERMINADO
133200,18914.0,95,2,J&V Resguardo S.A.C.,LINDE PERU S.R.L.,Linde Gas Piura,AGENTE SEGURIDAD 24 HRS L/D,133200_18914_95,133200,18914,95,2.3333333333333335,J&V Resguardo S.A.C.,LINDE PERU S.R.L.,Linde Gas Piura,AGENTE SEGURIDAD 24 HRS L/D,REGION PIURA,REGION NORTE,-0.33,85.71,FALTA
86107,8255.0,95,2,J&V Resguardo S.A.C.,REACTIVOS NACIONALES S A,Renasa Magdalena Del Mar,AGENTE SEGURIDAD 24 HRS L/D,86107_8255_95,86107,8255,95,2.3333333333333335,J&V Resguardo S.A.C.,REACTIVOS NACIONALES S A,Renasa Magdalena Del Mar,AGENTE SEGURIDAD 24 HRS L/D,ZONA C11,ZONA CENTRO,-0.33,85.71,FALTA
,,,0,,,,,54550_22991_F35,54550,22991,F35,1.1666666666666667,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,Tottus Canta Central Parking,AGENTE PARKING 08 HRS L/D TARDE,ZONA PD2,ZONA PARKING Y DELIVERY,,,INDETERMINADO
59493,17660.0,372,2,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Aulario,AGENTE SEGURIDAD 08 HRS L/S TARDE,59493_17660_372,59493,17660,372,2.0,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Aulario,AGENTE SEGURIDAD 08 HRS L/S TARDE,ZONA N8,ZONA NORTE,0.0,100.0,EXACTO
77667,18967.0,95,8,J&V Resguardo S.A.C.,PESQUERA DIAMANTE S.A.,Pesquera Diamante Varadero,AGENTE SEGURIDAD 24 HRS L/D,77667_18967_95,77667,18967,95,7.0,J&V Resguardo S.A.C.,PESQUERA DIAMANTE S.A.,Pesquera Diamante Varadero,AGENTE SEGURIDAD 24 HRS L/D,ZONA N6,ZONA NORTE,1.0,114.29,SOBRECARGA
77526,3051.0,41,2,J&V Resguardo S.A.C.,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,CMBV Almacén Campoy,AGENTE SEGURIDAD 12 HRS L/D DÍA,77526_3051_41,77526,3051,41,1.1666666666666667,J&V Resguardo S.A.C.,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,CMBV Almacén Campoy,AGENTE SEGURIDAD 12 HRS L/D DÍA,ZONA C5,ZONA CENTRO,0.83,171.43,SOBRECARGA
59493,17663.0,18,1,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Tinkuy,AGENTE SEGURIDAD 08 HRS L/S DÍA,59493_17663_18,59493,17663,18,1.0,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Tinkuy,AGENTE SEGURIDAD 08 HRS L/S DÍA,ZONA N8,ZONA NORTE,0.0,100.0,EXACTO
111548,20375.0,95,3,J&V Resguardo S.A.C.,CENTENARIO DESARROLLO URBANO S.A.C,OAC Oficina Roncadora Ate,AGENTE SEGURIDAD 24 HRS L/D,111548_20375_95,111548,20375,95,2.3333333333333335,J&V Resguardo S.A.C.,CENTENARIO DESARROLLO URBANO S.A.C,OAC Oficina Roncadora Ate,AGENTE SEGURIDAD 24 HRS L/D,ZONA RT1,ZONA RETAIL,0.67,128.57,SOBRECARGA
,,,0,,,,,7006_20181_95,7006,20181,95,2.3333333333333335,J&V Resguardo S.A.C.,REPSOL COMERCIAL SAC,Serv. Adic. Repsol San Isidro,AGENTE SEGURIDAD 24 HRS L/D,ZONA C7,ZONA CENTRO,,,INDETERMINADO
108939,20925.0,I92,1,Liderman Servicios S.A.C.,LIDERMAN SERVICIOS S.A.C.,Conductor Parking (Tareo),AGENTE CONDUCTOR 08 HRS L/S DÍA,108939_20925_I92,108939,20925,I92,2.0,Liderman Servicios S.A.C.,LIDERMAN SERVICIOS S.A.C.,Conductor Parking (Tareo),AGENTE CONDUCTOR 08 HRS L/S DÍA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,-1.0,50.0,FALTA
56913,19705.0,95,3,J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SOCIEDAD ANÓNIMA,Backus CD Tumbes,AGENTE SEGURIDAD 24 HRS L/D,56913_19705_95,56913,19705,95,2.3333333333333335,J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,Backus CD Tumbes,AGENTE SEGURIDAD 24 HRS L/D,REGION TUMBES,REGION NORTE,0.67,128.57,SOBRECARGA
75979,2739.0,42,1,J&V Resguardo S.A.C.,CONCRETOS SUPERMIX SOCIEDAD ANONIMA - CONCRETOS SUPERMIX S.A.,Concretos Oropesa,AGENTE SEGURIDAD 12 HRS L/D NOCHE,75979_2739_42,75979,2739,42,1.1666666666666667,J&V Resguardo S.A.C.,CONCRETOS SUPERMIX SOCIEDAD ANONIMA - CONCRETOS SU,Concretos Oropesa,AGENTE SEGURIDAD 12 HRS L/D NOCHE,REGION CUZCO,REGION SUR,-0.17,85.71,FALTA
102591,8563.0,16,1,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Comas,AGENTE SEGURIDAD 08 HRS L/D DÍA,102591_8563_16,102591,8563,16,1.1666666666666667,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Comas,AGENTE SEGURIDAD 08 HRS L/D DÍA,ZONA N2,ZONA NORTE,-0.17,85.71,FALTA
,,,0,,,,,158229_23531_080,158229,23531,080,1.1538461538461537,J&V Resguardo S.A.C.,INMOBILIARIA LUBERNA S.A.C.,Terreno Pisco,GUARDIAN 24 HRS L/D,REGION ICA,REGION SUR,,,INDETERMINADO
56951,12888.0,B34,2,J&V Resguardo S.A.C.,EMPRESA SIDERURGICA DEL PERU S.A.A.,Sider Planta Chimbote (Tareo),INSPECTOR ADJUNTO 24 HRS L/D,56951_12888_B34,56951,12888,B34,2.3333333333333335,J&V Resguardo S.A.C.,EMPRESA SIDERURGICA DEL PERU S.A.A.,Sider Planta Chimbote (Tareo),INSPECTOR ADJUNTO 24 HRS L/D,REGION CHIMBOTE,REGION NORTE,-0.33,85.71,FALTA
23085,3884.0,95,3,J&V Resguardo S.A.C.,YURA S.A.,Almacén Andahuaylas,AGENTE SEGURIDAD 24 HRS L/D,23085_3884_95,23085,3884,95,2.3333333333333335,J&V Resguardo S.A.C.,YURA S.A.,Almacén Andahuaylas,AGENTE SEGURIDAD 24 HRS L/D,REGION CUZCO,REGION SUR,0.67,128.57,SOBRECARGA
,,,0,,,,,86429_26507_42,86429,26507,42,12.833333333333334,J&V Resguardo S.A.C.,GAS NATURAL DE LIMA Y CALLAO S.A.,Serv. Adic. ERP Villa Maria del Triunfo,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ZONA S2,ZONA SUR,,,INDETERMINADO
7196,7345.0,48,2,J&V Resguardo S.A.C.,EMPRESA EDITORA EL COMERCIO S.A.,El Comercio Local Pando Pueblo Libre,AGENTE SEGURIDAD 12 HRS L/S DÍA,7196_7345_48,7196,7345,48,2.0,J&V Resguardo S.A.C.,EMPRESA EDITORA EL COMERCIO S.A.,El Comercio Local Pando Pueblo Libre,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA C9,ZONA CENTRO,0.0,100.0,EXACTO
121313,12464.0,100,1,J&V Resguardo S.A.C.,QUIMTIA S.A.,Quimtia Operaciones Lurín,JEFE DE GRUPO 12 HRS L/S DÍA,121313_12464_100,121313,12464,100,1.0,J&V Resguardo S.A.C.,QUIMTIA S.A.,Quimtia Operaciones Lurín,JEFE DE GRUPO 12 HRS L/S DÍA,ZONA S7,ZONA SUR,0.0,100.0,EXACTO
8330,23854.0,95,2,J&V Resguardo S.A.C.,SAN FERNANDO S.A.,San Fernando Planta Incub. Provi Los Olivos,AGENTE SEGURIDAD 24 HRS L/D,8330_23854_95,8330,23854,95,2.3333333333333335,J&V Resguardo S.A.C.,SAN FERNANDO S.A.,San Fernando Planta Incub. Provi Los Olivos,AGENTE SEGURIDAD 24 HRS L/D,ZONA N2,ZONA NORTE,-0.33,85.71,FALTA
,,,0,,,,,72182_3077_007,72182,3077,007,2.3333333333333335,J&V Resguardo S.A.C.,CORPORACION MG SOCIEDAD ANONIMA CERRADA,Edificio Chocavento,AGENTE SEGURIDAD DE ASCENSOR 24 HRS.L/D,ZONA C7,ZONA CENTRO,,,INDETERMINADO
146309,20298.0,42,1,J&V Resguardo S.A.C.,ENEL GENERACION PIURA S.A.,Enel Gener. Piura Tanque Externo,AGENTE SEGURIDAD 12 HRS L/D NOCHE,146309_20298_42,146309,20298,42,1.4,J&V Resguardo S.A.C.,ENEL GENERACION PIURA S.A.,Enel Gener. Piura Tanque Externo,AGENTE SEGURIDAD 12 HRS L/D NOCHE,REGION TUMBES,REGION NORTE,-0.4,71.43,FALTA
111548,25036.0,41,1,J&V Resguardo S.A.C.,CENTENARIO DESARROLLO URBANO S.A.C,HU Arenas de San Antonio Lurín,AGENTE SEGURIDAD 12 HRS L/D DÍA,111548_25036_41,111548,25036,41,1.1666666666666667,J&V Resguardo S.A.C.,CENTENARIO DESARROLLO URBANO S.A.C,HU Arenas de San Antonio Lurín,AGENTE SEGURIDAD 12 HRS L/D DÍA,ZONA RT3,ZONA RETAIL,-0.17,85.71,FALTA
141788,19304.0,42,1,J&V Resguardo S.A.C.,SAPISCO CONTENEDORES S.A.C.,Sapisco Pisco,AGENTE SEGURIDAD 12 HRS L/D NOCHE,141788_19304_42,141788,19304,42,1.1666666666666667,J&V Resguardo S.A.C.,SAPISCO CONTENEDORES S.A.C.,Sapisco Pisco,AGENTE SEGURIDAD 12 HRS L/D NOCHE,REGION ICA,REGION SUR,-0.17,85.71,FALTA
102591,8517.0,100,1,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Este SJL,JEFE DE GRUPO 12 HRS L/S DÍA,102591_8517_100,102591,8517,100,1.0,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Este SJL,JEFE DE GRUPO 12 HRS L/S DÍA,ZONA C5,ZONA CENTRO,0.0,100.0,EXACTO
9463,20008.0,O74,1,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Interbank Operadores La Victoria,OPERADOR DE CONTROL TÉCNICO 08 HRS L/S (DIA),9463_20008_O74,9463,20008,O74,1.0,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Interbank Operadores La Victoria,OPERADOR DE CONTROL TÉCNICO 08 HRS L/S (DIA),CENTRO DE CONTROL LIMA - INTERBANK,ZONA CENTRO,0.0,100.0,EXACTO
70588,13240.0,882,2,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Villa María,PREVENCIONISTA 24 HRS L/D,70588_13240_882,70588,13240,882,2.3333333333333335,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Villa María,PREVENCIONISTA 24 HRS L/D,ZONA RT1,ZONA RETAIL,-0.33,85.71,FALTA
23444,19890.0,899,1,J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SOCIEDAD ANONIMA,Piura Almacén Albo,AGENTE SEGURIDAD 12 HRS D/V NOCHE,23444_19890_899,23444,19890,899,1.0,J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SO,Piura Almacén Albo,AGENTE SEGURIDAD 12 HRS D/V NOCHE,REGION PIURA,REGION NORTE,0.0,100.0,EXACTO
60457,1249.0,41,2,J&V Resguardo S.A.C.,SACOS PISCO S.A.C.,Sacos Pisco,AGENTE SEGURIDAD 12 HRS L/D DÍA,60457_1249_41,60457,1249,41,2.3333333333333335,J&V Resguardo S.A.C.,SACOS PISCO S.A.C.,Sacos Pisco,AGENTE SEGURIDAD 12 HRS L/D DÍA,REGION ICA,REGION SUR,-0.33,85.71,FALTA
