Cliente_Final,COD UNID,Servicio_Limpio,Personal_Real,Compañía_PA,Nombre_Cliente_PA,Nombre_Unidad_PA,Nombre_Servicio_PA,Clave_Mezclado,Cliente_Final_right,Unidad_Str,Servicio_Limpio_right,Personal_Estimado,Compañía_SV,Nombre_Cliente_SV,Nombre_Unidad_SV,Nombre_Servicio_SV,Zona_SV,Macrozona_SV,Diferencia,Cobertura_Pct,Estado
62594,22983.0,L93,1,J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Southern Perú Michiquillay,SUPERVISOR CENTRAL DE EMERGENCIAS 08 HRS L/S (DÍA),62594_22983_L93,62594,22983,L93,1.0,J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER",Southern Perú Michiquillay,SUPERVISOR CENTRAL DE EMERGENCIAS 08 HRS L/S (DÍA),REGION CAJAMARCA,REGION NORTE,0.0,100.0,EXACTO
59077,11709.0,151,1,J&V Resguardo S.A.C.,CLINICA INTERNACIONAL S A,Clínica Intl. El Polo Surco,SUPERVISOR SEGURIDAD 12 HRS L/D (DIA),59077_11709_151,59077,11709,151,1.1666666666666667,J&V Resguardo S.A.C.,CLINICA INTERNACIONAL S A,Clínica Intl. El Polo Surco,SUPERVISOR SEGURIDAD 12 HRS L/D (DIA),ZONA S1,ZONA SUR,-0.17,85.71,FALTA
141493,21459.0,48,2,J&V Resguardo S.A.C.,IN GROUP CONSULTORIA E INVERSIONES S.A.C.,In Group C.E.I Edificio Pedro de Osma,AGENTE SEGURIDAD 12 HRS L/S DÍA,141493_21459_48,141493,21459,48,1.0,J&V Resguardo S.A.C.,IN GROUP CONSULTORIA E INVERSIONES S.A.C.,In Group C.E.I Edificio Pedro de Osma,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA C12,ZONA CENTRO,1.0,200.0,SOBRECARGA
72879,23266.0,95,3,J&V Resguardo S.A.C.,EF & P INVERSIONES S.A.C.,Local Calle Marie Curie 398 Ate,AGENTE SEGURIDAD 24 HRS L/D,72879_23266_95,72879,23266,95,2.3333333333333335,J&V Resguardo S.A.C.,EF & P INVERSIONES S.A.C.,Local Calle Marie Curie 398 Ate,AGENTE SEGURIDAD 24 HRS L/D,ZONA C3,ZONA CENTRO,0.67,128.57,SOBRECARGA
102591,17874.0,372,1,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Sur Chorrillos,AGENTE SEGURIDAD 08 HRS L/S TARDE,102591_17874_372,102591,17874,372,1.0,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Sur Chorrillos,AGENTE SEGURIDAD 08 HRS L/S TARDE,ZONA S4,ZONA SUR,0.0,100.0,EXACTO
75607,2727.0,398,2,J&V Resguardo S.A.C.,FUTURA CONSORCIO INMOBILIARIO S.A.,Terreno Futura - Pisco Paracas,AGENTE CONDUCTOR 24 HRS L/D,75607_2727_398,75607,2727,398,2.3333333333333335,J&V Resguardo S.A.C.,FUTURA CONSORCIO INMOBILIARIO S.A.,Terreno Futura - Pisco Paracas,AGENTE CONDUCTOR 24 HRS L/D,REGION ICA,REGION SUR,-0.33,85.71,FALTA
24097,143.0,48,1,J&V Resguardo S.A.C.,PERUFARMA S A,Perufarma Sede Redbull,AGENTE SEGURIDAD 12 HRS L/S DÍA,24097_143_48,24097,143,48,1.0,J&V Resguardo S.A.C.,PERUFARMA S A,Perufarma Sede Redbull,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA C9,ZONA CENTRO,0.0,100.0,EXACTO
,,,0,,,,,85762_26633_42,85762,26633,42,1.1666666666666667,J&V Resguardo S.A.C.,GSP SERVICIOS GENERALES S.A.C.,Serv. Adic. AUNA Dean Valdivia,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ZONA C6,ZONA CENTRO,,,INDETERMINADO
,,,0,,,,,23649_9510_080,23649,9510,080,1.1538461538461537,J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,Guardianía Trapiche,GUARDIAN 24 HRS L/D,ZONA RG2,ZONA RESIDENCIAS,,,INDETERMINADO
23973,20339.0,95,7,J&V Resguardo S.A.C.,MEDIFARMA S A,Medifarma Aldea Logística VES,AGENTE SEGURIDAD 24 HRS L/D,23973_20339_95,23973,20339,95,4.666666666666667,J&V Resguardo S.A.C.,MEDIFARMA S A,Medifarma Aldea Logística VES,AGENTE SEGURIDAD 24 HRS L/D,ZONA S2,ZONA SUR,2.33,150.0,SOBRECARGA
7044,1073.0,48,1,J&V Resguardo S.A.C.,RIMAC SEGUROS Y REASEGUROS,Rimac Local Chiclayo,AGENTE SEGURIDAD 12 HRS L/S DÍA,7044_1073_48,7044,1073,48,1.0,J&V Resguardo S.A.C.,RIMAC SEGUROS Y REASEGUROS,Rimac Local Chiclayo,AGENTE SEGURIDAD 12 HRS L/S DÍA,REGION CHICLAYO,REGION NORTE,0.0,100.0,EXACTO
65770,20284.0,42,1,J&V Resguardo S.A.C.,ORYGEN PERU S.A.A.,Enel Gener. Central Térmica Ventanilla,AGENTE SEGURIDAD 12 HRS L/D NOCHE,65770_20284_42,65770,20284,42,1.4,J&V Resguardo S.A.C.,ORYGEN PERU S.A.A.,Enel Gener. Central Térmica Ventanilla,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ZONA N5,ZONA NORTE,-0.4,71.43,FALTA
,,,0,,,,,23418_25493_507,23418,25493,507,1.1666666666666667,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Impala Mora Operaciones,AGENTE CONDUCTOR 12 HRS L/D DÍA,ZONA N9,ZONA NORTE,,,INDETERMINADO
82747,14097.0,95,2,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,Local Ciudad Moquegua,AGENTE SEGURIDAD 24 HRS L/D,82747_14097_95,82747,14097,95,2.3333333333333335,J&V Resguardo S.A.C.,FERREYROS SOCIEDAD ANÓNIMA,Local Ciudad Moquegua,AGENTE SEGURIDAD 24 HRS L/D,REGION MOQUEGUA,REGION SUR,-0.33,85.71,FALTA
163872,23475.0,F35,2,Liderman Servicios S.A.C.,INVERSIONES LAMBORE S.A.C.,CC Mega Plaza Chorrillos,AGENTE PARKING 08 HRS L/D TARDE,163872_23475_F35,163872,23475,F35,2.3333333333333335,Liderman Servicios S.A.C.,INVERSIONES LAMBORE S.A.C.,CC Mega Plaza Chorrillos,AGENTE PARKING 08 HRS L/D TARDE,ZONA PD3,ZONA PARKING Y DELIVERY,-0.33,85.71,FALTA
23418,25493.0,41,1,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Impala Mora Operaciones,AGENTE SEGURIDAD 12 HRS L/D DÍA,23418_25493_41,23418,25493,41,1.1666666666666667,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Impala Mora Operaciones,AGENTE SEGURIDAD 12 HRS L/D DÍA,ZONA N9,ZONA NORTE,-0.17,85.71,FALTA
7044,2637.0,48,2,J&V Resguardo S.A.C.,RIMAC SEGUROS Y REASEGUROS,Rimac Oficina Wilson,AGENTE SEGURIDAD 12 HRS L/S DÍA,7044_2637_48,7044,2637,48,2.0,J&V Resguardo S.A.C.,RIMAC SEGUROS Y REASEGUROS,Rimac Oficina Wilson,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA C5,ZONA CENTRO,0.0,100.0,EXACTO
126664,13486.0,95,8,J&V Resguardo S.A.C.,CERAMICA SAN LORENZO SAC,Ceramica San Lorenzo Planta 3,AGENTE SEGURIDAD 24 HRS L/D,126664_13486_95,126664,13486,95,7.0,J&V Resguardo S.A.C.,CERAMICA SAN LORENZO SAC,Ceramica San Lorenzo Planta 3,AGENTE SEGURIDAD 24 HRS L/D,ZONA S7,ZONA SUR,1.0,114.29,SOBRECARGA
73676,21550.0,95,3,J&V Resguardo S.A.C.,NEGOCIACIONES Y REPRESENTACIONES DUSANC SAC,Casino Bonanza Sede Callao,AGENTE SEGURIDAD 24 HRS L/D,73676_21550_95,73676,21550,95,2.3333333333333335,J&V Resguardo S.A.C.,NEGOCIACIONES Y REPRESENTACIONES DUSANC SAC,Casino Bonanza Sede Callao,AGENTE SEGURIDAD 24 HRS L/D,ZONA N6,ZONA NORTE,0.67,128.57,SOBRECARGA
12526,20144.0,95,22,J&V Resguardo S.A.C.,REPSOL EXPLORACION PERU SUCURSAL DEL PER U,Repsol Lote 57,AGENTE SEGURIDAD 24 HRS L/D,12526_20144_95,12526,20144,95,21.0,J&V Resguardo S.A.C.,REPSOL EXPLORACION PERU SUCURSAL DEL PER U,Repsol Lote 57,AGENTE SEGURIDAD 24 HRS L/D,ZONA REPSOL MANDOS MEDIOS,ZONA SUR,1.0,104.76,SOBRECARGA
64608,1888.0,48,1,J&V Resguardo S.A.C.,DIVECENTER S.A.C.,Divemotor Local Trujillo,AGENTE SEGURIDAD 12 HRS L/S DÍA,64608_1888_48,64608,1888,48,1.0,J&V Resguardo S.A.C.,DIVECENTER S.A.C.,Divemotor Local Trujillo,AGENTE SEGURIDAD 12 HRS L/S DÍA,REGION TRUJILLO,REGION NORTE,0.0,100.0,EXACTO
71436,9696.0,48,1,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Fideeria Lima Argentina,AGENTE SEGURIDAD 12 HRS L/S DÍA,71436_9696_48,71436,9696,48,1.0,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Fideeria Lima Argentina,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA N1,ZONA NORTE,0.0,100.0,EXACTO
